,home_team,home_team_score,home_team_record,home_team_GFvGA,away_team,away_team_score,away_team_record,away_team_GFvGA,winner,year,date
0,Benilde-St. Margarets,9,1.0,0.7230769230769231,Mahtomedi,5,0.6923076923076923,0.6294117647058823,0,2018,Sat May 12
1,Stillwater,13,0.92,0.7283702213279678,Mounds View,4,0.48,0.5055928411633109,0,2019,Tue Apr 30
2,Hill-Murray,0,0.2916666666666667,0.3333333333333333,Hastings,19,0.6153846153846154,0.5961538461538461,1,2019,Mon Apr 29
3,St. Thomas Academy,9,0.8461538461538461,0.7041942604856513,Owatonna,3,0.5769230769230769,0.6091954022988506,0,2018,Sat Apr 28
4,Big Lake,1,0.0,0.14418604651162792,St. Michael-Albertville,21,0.88,0.8653465346534653,1,2019,Wed May 15
5,Brainerd,4,0.08333333333333333,0.13901345291479822,Rocori,13,0.4583333333333333,0.4561855670103093,1,2019,Mon May  6
6,Hopkins,0,0.15384615384615385,0.201530612244898,Breck,5,0.72,0.5989847715736041,1,2018,Sat Apr 28
7,Shakopee,6,0.6153846153846154,0.5754716981132075,Lakeville North,10,0.64,0.5704989154013015,1,2018,Fri May 18
8,Northfield,7,0.56,0.5971896955503513,Duluth,8,0.8461538461538461,0.6708860759493671,1,2019,Sat Apr 13
9,Eastview,5,0.4615384615384616,0.5609756097560976,Farmington,2,0.19230769230769232,0.2717678100263852,0,2019,Tue Apr 23
10,St. Louis Park,6,0.125,0.21521739130434786,Totino-Grace,18,0.19230769230769232,0.3392857142857143,1,2019,Mon Apr 22
11,Hastings,18,0.6153846153846154,0.5961538461538461,Forest Lake,8,0.19230769230769232,0.3790849673202614,0,2018,Fri May 25
12,Shakopee,19,0.6153846153846154,0.5754716981132075,Delano Rockford,3,0.7307692307692307,0.6274944567627494,0,2019,Thu May 23
13,Wayzata,6,0.52,0.5757575757575758,Chanhassen,10,0.72,0.6299559471365639,1,2018,Thu May 10
14,TrIMAC,9,0.2,0.3805147058823529,Hermantown Proctor,19,0.4166666666666667,0.4541284403669725,1,2019,Wed Apr 24
15,Holy Family,8,0.13043478260869565,0.2868020304568528,Delano Rockford,17,0.7307692307692307,0.6274944567627494,1,2019,Mon May 20
16,Providence Academy,8,0.4545454545454545,0.471057884231537,Holy Angels,24,0.6521739130434783,0.534516765285996,1,2018,Tue May  1
17,Irondale,17,0.9230769230769232,0.7096069868995634,Totino-Grace,7,0.19230769230769232,0.3392857142857143,0,2018,Fri May  4
18,Holy Angels,14,0.6521739130434783,0.534516765285996,St. Thomas Academy,11,0.8461538461538461,0.7041942604856513,0,2018,Fri Apr 13
19,Brainerd,1,0.08333333333333333,0.13901345291479822,Osseo Park Center,22,0.3703703703703704,0.5057251908396947,1,2018,Sat Apr 28
20,Edina,6,0.4615384615384616,0.5092592592592593,Eden Prairie,9,0.68,0.596875,1,2018,Thu May 10
21,Wayzata,9,0.52,0.5757575757575758,Edina,10,0.4615384615384616,0.5092592592592593,1,2019,Tue May 14
22,Chaska,2,0.3461538461538461,0.4004739336492891,Benilde-St. Margarets,12,1.0,0.7230769230769231,1,2018,Thu May  3
23,St. Paul,9,0.5,0.4967320261437909,Rochester JM Lourdes,5,0.25,0.3605442176870749,0,2019,Wed May  8
24,Rosemount,11,0.72,0.6347826086956522,Lakeville South,12,0.4615384615384616,0.4942339373970346,1,2019,Thu Apr 25
25,Burnsville,3,0.36,0.4025423728813559,Eagan,18,0.7083333333333334,0.6666666666666666,1,2019,Tue Apr 23
26,Minneapolis,8,0.5416666666666666,0.5553470919324578,Apple Valley,10,0.24,0.299163179916318,1,2018,Wed Apr 25
27,Mahtomedi,14,0.6923076923076923,0.6294117647058823,Henry Sibley,1,0.2727272727272727,0.2891566265060241,0,2019,Mon Apr 29
28,Stillwater,7,0.92,0.7283702213279678,East Ridge,4,0.8076923076923077,0.6064814814814815,0,2018,Thu Apr 26
29,Buffalo,1,0.6666666666666666,0.6193293885601578,St. Michael-Albertville,15,0.88,0.8653465346534653,1,2019,Thu May  9
30,North St. Paul,3,0.045454545454545456,0.13817330210772832,Southwest Christian,18,0.3333333333333333,0.4048582995951417,1,2019,Fri Apr 26
31,TrIMAC,6,0.2,0.3805147058823529,Breck,15,0.72,0.5989847715736041,1,2019,Thu Apr 25
32,Woodbury,8,0.4166666666666667,0.43315508021390375,Duluth,7,0.8461538461538461,0.6708860759493671,0,2019,Sat Apr 20
33,Eastview,18,0.4615384615384616,0.5609756097560976,Bloomington Kennedy,7,0.4166666666666667,0.4337078651685393,0,2019,Thu May 23
34,Sartell Sauk Rapids,4,0.20833333333333331,0.271264367816092,Rogers,16,0.7083333333333334,0.6714876033057852,1,2018,Mon Apr 30
35,Rochester Mayo,6,0.52,0.4576271186440678,Owatonna,14,0.5769230769230769,0.6091954022988506,1,2018,Sat Apr 21
36,Elk River Zimmerman,13,0.76,0.6173708920187794,Spring Lake Park,3,0.1153846153846154,0.29195402298850576,0,2019,Mon May 13
37,Farmington,3,0.19230769230769232,0.2717678100263852,Apple Valley,12,0.24,0.299163179916318,1,2018,Thu May 17
38,Hill-Murray,3,0.2916666666666667,0.3333333333333333,Moorhead,11,0.4,0.4748201438848921,1,2019,Thu May  2
