,home_team,away_team,date
0,Rochester JM/Lourdes,Owatonna,Thu May 14
1,Blake,White Bear Lake,Sat Apr 11
2,Delano Rockford,Holy Family,Mon May 18
3,Edina,Prior Lake,Sat Apr 18
4,Southwest Christian,TrIMAC,Fri May 22
5,Shakopee,Lakeville North,Wed Apr 29
6,Grand Rapids,Moorhead,Fri May 15
7,St. Paul,Mounds View,Tue Apr 14
8,North St. Paul,Hastings,Thu May  7
9,Shakopee,Prior Lake,Tue Apr 21
10,Robbinsdale Armstrong,Bloomington Kennedy,Mon May 11
11,Mankato,Owatonna,Mon Apr 20
12,Northfield,Owatonna,Mon May  4
13,Robbinsdale Armstrong,Anoka,Mon May 18
14,Spring Lake Park,Centennial,Mon May 18
15,Holy Family,Holy Angels,Thu Apr 23
16,New Prague,Mankato,Thu Apr  9
17,TrIMAC,Henry Sibley,Wed May 13
18,Duluth,Hermantown Proctor,Wed May  6
19,Hermantown/Proctor,Duluth,Tue Apr 14
20,Big Lake,Rocori,Mon May  4
21,Moorhead,Grand Rapids,Sat Apr 25
22,Rochester Century,Mankato,Mon May 18
23,Simley,Cretin-Derham Hall,Fri May 15
24,Grand Rapids,St. Paul,Sat May 23
25,Monticello,St. Cloud,Thu May  7
26,Tartan,Henry Sibley,Tue May  5
27,Rochester Mayo,Rochester Century,Mon Apr 27
28,Breck,Roseville,Thu May 21
29,Simley,Lakeville North,Thu Apr 16
30,Tartan,Simley,Mon Apr 20
31,Lakeville North,Eden Prairie,Thu May  7
32,Totino-Grace,Osseo/Park Center,Mon May 11
33,Stillwater,East Ridge,Wed Apr 29
34,Delano Rockford,Shakopee,Sat May 16
35,Chanhassen,Stillwater,Sat Apr 18
36,Rocori,Sartell Sauk Rapids,Thu Apr 30
37,Eden Prairie,Woodbury,Mon May 18
38,Lakeville North,Wayzata,Sat Apr 25
39,Minnetonka,St. Michael-Albertville,Thu Apr 23
40,Bloomington Kennedy,Chanhassen,Thu Apr 23
41,Chisago Lakes,St. Michael-Albertville,Mon May 18
42,Waconia,Delano/Rockford,Mon May 11
43,Burnsville,Lakeville South,Fri May  8
44,Hill-Murray,Mounds View,Sat Apr 11
45,Andover,Totino-Grace,Wed May  6
46,Hastings,Simley,Tue May  5
47,Breck,Orono,Sat May  9
48,Woodbury,Simley,Sat Apr 18
49,Chisago Lakes,Hermantown/Proctor,Thu Apr 16
50,Tartan,Rochester JM/Lourdes,Wed Apr 15
51,Chanhassen,Benilde-St. Margarets,Tue May  5
52,Park of Cottage Grove,Lakeville North,Mon Apr 27
53,Elk River/Zimmerman,Anoka,Mon Apr 20
54,Hastings,Mounds View,Sat Apr 25
55,Duluth,Minneapolis,Sat Apr 25
56,Maple Grove,Spring Lake Park,Wed May  6
57,Hermantown Proctor,Grand Rapids,Thu Apr  9
58,Rogers,Maple Grove,Wed May 20
59,Mahtomedi,Hastings,Wed May 13
60,Mounds View,Totino-Grace,Fri Apr 17
61,Big Lake,Monticello,Mon Apr 27
62,Champlin Park,Coon Rapids,Mon May 11
63,Minnetonka,Elk River Zimmerman,Sat Apr 25
64,Monticello,Becker,Thu Apr 30
65,Orono,Minneapolis,Mon May 11
66,Mounds View,Forest Lake,Tue May 12
67,Cretin-Derham Hall,Woodbury,Fri Apr 24
68,Chisago Lakes,Hermantown Proctor,Thu Apr 16
69,Henry Sibley,St. Thomas Academy,Mon Apr 27
70,Waconia,Delano Rockford,Mon May 11
71,Eden Prairie,Edina,Tue May  5
72,Irondale,White Bear Lake,Fri Apr 24
73,Sartell Sauk Rapids,Rocori,Mon Apr 20
74,Delano Rockford,Orono,Thu Apr 30
75,Hopkins,St. Paul,Sat Apr 25
76,Chaska,Rochester Century,Sat May  2
77,St. Louis Park,Waconia,Thu Apr 23
78,Sartell/Sauk Rapids,Brainerd,Thu May 14
79,Hill-Murray,North St. Paul,Mon Apr 27
80,Hill-Murray,Mahtomedi,Thu May  7
81,Becker,Grand Rapids,Sat Apr 18
82,Irondale,Park of Cottage Grove,Tue May 19
83,New Prague,Minneapolis,Tue May 12
84,North St. Paul,Simley,Tue Apr 14
85,Woodbury,East Ridge,Wed May 13
86,Roseville,Mounds View,Fri Apr 24
87,Rochester JM/Lourdes,Mankato,Tue Apr 21
88,Elk River/Zimmerman,Andover,Mon Apr 27
89,TrIMAC,Southwest Christian,Fri May 22
90,Andover,Osseo/Park Center,Mon Apr 20
91,Stillwater,Prior Lake,Sat Apr 25
92,Hermantown/Proctor,Northfield,Fri May  8
93,East Ridge,Tartan,Fri Apr 17
94,Prior Lake,Benilde-St. Margarets,Sat May  2
95,Coon Rapids,Centennial,Wed Apr 15
96,Mounds View,Stillwater,Fri May  1
97,Farmington,Hopkins,Tue Apr 14
98,St. Thomas Academy,Benilde-St. Margarets,Tue May 19
99,Blake,Eden Prairie,Thu May 21
100,Hastings,Henry Sibley,Thu Apr 23
101,Cretin-Derham Hall,East Ridge,Tue May 19
102,Maple Grove,Elk River/Zimmerman,Mon May  4
103,Minneapolis,St. Paul,Sat Apr 11
104,Rochester Century,Northfield,Thu May  7
105,Waconia,Chaska,Thu May  7
106,Duluth,Forest Lake,Fri Apr 17
107,Owatonna,Mankato,Thu May  7
108,Cretin-Derham Hall,Forest Lake,Sat May 16
109,Forest Lake,Woodbury,Wed May  6
110,Edina,Hopkins,Tue Apr 21
111,Holy Angels,Southwest Christian,Fri Apr 17
112,Duluth,Grand Rapids,Tue Apr 21
113,Chanhassen,Eagan,Tue Apr 14
114,Rochester JM Lourdes,Rochester Century,Sat Apr 25
115,Wayzata,Chanhassen,Tue May 19
116,Mahtomedi,Chanhassen,Sat May  2
117,Hill-Murray,Duluth,Tue May 12
118,Tartan,North St. Paul,Thu Apr 23
119,Farmington,Eastview,Tue Apr 21
120,Edina,Bloomington Jefferson,Sat May  2
121,Eden Prairie,Eagan,Tue Apr 21
122,Northfield,Rochester Century,Mon Apr 20
123,St. Thomas Academy,Tartan,Thu May  7
124,Delano/Rockford,New Prague,Thu May  7
125,Osseo Park Center,Centennial,Wed Apr 22
126,Orono,Chaska,Tue Apr 28
127,St. Cloud,Rocori,Thu May 14
128,Maple Grove,Elk River Zimmerman,Mon May  4
129,Becker,Sartell Sauk Rapids,Tue May 19
130,Mound Westonka,New Prague,Tue Apr 28
131,Hermantown Proctor,Duluth,Tue Apr 14
132,White Bear Lake,Wayzata,Mon Apr 27
133,Forest Lake,Park of Cottage Grove,Wed Apr 22
134,Edina,Rosemount,Thu May 21
135,Roseville,Stillwater,Fri May  8
136,Buffalo,Moorhead,Fri May  1
137,Southwest Christian,Hopkins,Tue May 12
138,Chaska,St. Louis Park,Tue May  5
139,Apple Valley,Lakeville North,Tue May 19
140,Farmington,Prior Lake,Tue May 12
141,Sartell Sauk Rapids,Moorhead,Tue Apr 21
142,Elk River/Zimmerman,Blaine,Wed May  6
143,Rochester Mayo,Hastings,Thu Apr 16
144,Apple Valley,Eastview,Thu Apr 23
145,Osseo Park Center,Anoka,Fri Apr 24
146,Chisago Lakes,Becker,Thu May 14
147,Cretin-Derham Hall,Blaine,Sat May  9
148,Simley,St. Thomas Academy,Wed May 13
149,White Bear Lake,Cretin-Derham Hall,Fri May  8
