,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Centennial,8,7,W,Home,2018,Thu Apr 12
1,Anoka,10,9,W,Home,2018,Sat Apr 21
2,Elk River Zimmerman,3,12,L,Away,2018,Mon Apr 30
3,Blaine,8,7,W,Away,2018,Fri May  4
4,Totino-Grace,16,7,W,Home,2018,Wed May  9
5,Rochester JM Lourdes,15,6,W,Home,2018,Mon May 14
6,Champlin Park,13,5,W,Home,2018,Tue May 22
7,Irondale,7,11,L,Home,2018,Wed Apr 25
8,Osseo Park Center,14,11,W,Home,2018,Wed May  2
9,Maple Grove,6,11,L,Away,2018,Mon May  7
10,Spring Lake Park,7,6,W,Away,2018,Fri May 11
11,Anoka,12,10,W,Away,2018,Wed May 16
12,Robbinsdale Armstrong,11,10,W,Home,2018,Wed May 23
13,Rogers,10,7,W,Away,2019,Thu Apr 18
14,Maple Grove,4,17,L,Away,2019,Wed Apr 24
15,Elk River Zimmerman,4,11,L,Home,2019,Mon Apr 29
16,Coon Rapids,16,2,W,Away,2019,Fri May  3
17,Champlin Park,12,8,W,Away,2019,Wed May 15
18,Irondale,9,11,L,Home,2019,Tue May 21
19,Totino-Grace,14,5,W,Away,2019,Thu May 23
20,Osseo Park Center,10,6,W,Away,2019,Mon Apr 22
21,Anoka,8,6,W,Home,2019,Fri Apr 26
22,Spring Lake Park,16,2,W,Away,2019,Wed May  1
23,Centennial,6,13,L,Home,2019,Mon May  6
24,Blaine,6,8,L,Home,2019,Fri May 17
25,Robbinsdale Armstrong,13,6,W,Home,2019,Wed May 22
