,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Centennial,5,17,L,Away,2018,Mon Apr 23
1,Robbinsdale Armstrong,6,15,L,Away,2018,Fri May  4
2,Irondale,0,17,L,Away,2018,Fri May 11
3,Andover,10,12,L,Home,2018,Wed May 16
4,Totino-Grace,11,15,L,Away,2018,Mon May 21
5,Andover,9,10,L,Away,2018,Sat Apr 21
6,Elk River Zimmerman,4,14,L,Home,2018,Wed Apr 25
7,Maple Grove,5,12,L,Home,2018,Wed May  2
8,Spring Lake Park,11,5,W,Home,2018,Wed May  9
9,Osseo Park Center,14,15,L,Away,2018,Mon May 14
10,Blaine,4,14,L,Home,2018,Fri May 18
11,Champlin Park,15,19,L,Away,2018,Thu May 24
12,Maple Grove,3,12,L,Away,2019,Wed Apr 17
13,Spring Lake Park,12,5,W,Away,2019,Wed Apr 24
14,Centennial,5,17,L,Home,2019,Mon Apr 29
15,Irondale,2,17,L,Home,2019,Fri May  3
16,Coon Rapids,14,5,W,Away,2019,Wed May 15
17,Champlin Park,5,6,L,Away,2019,Sat May 18
18,Tartan,4,17,L,Home,2019,Tue May 21
19,Elk River Zimmerman,1,9,L,Home,2019,Mon Apr 22
20,Andover,6,8,L,Away,2019,Fri Apr 26
21,Totino-Grace,9,8,W,Away,2019,Wed May  1
22,Blaine,0,12,L,Home,2019,Mon May  6
23,Osseo Park Center,10,7,W,Home,2019,Fri May 17
24,Robbinsdale Armstrong,4,8,L,Home,2019,Mon May 20
