,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Bloomington Jefferson,8,7,W,Away,2018,Fri Apr 20
1,Minneapolis,10,8,W,Away,2018,Wed Apr 25
2,Shakopee,9,8,W,Home,2018,Fri May  4
3,Eastview,2,15,L,Home,2018,Thu May 10
4,Lakeville South,10,19,L,Away,2018,Tue May 15
5,Northfield,5,4,W,Away,2018,Sat May 19
6,Eagan,1,17,L,Away,2018,Sat Apr 21
7,Prior Lake,4,16,L,Home,2018,Tue May  1
8,Lakeville North,5,15,L,Home,2018,Tue May  8
9,Holy Angels,6,14,L,Away,2018,Sat May 12
10,Farmington,12,3,W,Away,2018,Thu May 17
11,Rosemount,2,14,L,Home,2018,Tue May 22
12,Owatonna,11,4,W,Home,2019,Thu Apr 18
13,Lakeville South,2,16,L,Home,2019,Tue Apr 23
14,Farmington,6,8,L,Home,2019,Tue Apr 30
15,Northfield,2,14,L,Home,2019,Fri May  3
16,Prior Lake,2,20,L,Away,2019,Thu May  9
17,Shakopee,8,17,L,Home,2019,Tue May 14
18,Lakeville North,3,18,L,Away,2019,Tue May 21
19,Holy Angels,11,12,L,Home,2019,Mon Apr 22
20,Eastview,2,15,L,Away,2019,Thu Apr 25
21,Eagan,2,23,L,Home,2019,Thu May  2
22,Burnsville,11,12,L,Home,2019,Tue May  7
23,Bloomington Jefferson,5,17,L,Away,2019,Sat May 11
24,Rosemount,4,19,L,Away,2019,Thu May 16
