,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Delano Rockford,4,10,L,Away,2018,Fri Apr 27
1,Hutchinson,17,0,W,Home,2018,Fri May  4
2,St. Michael-Albertville,2,20,L,Home,2018,Thu May 10
3,Rocori,13,3,W,Home,2018,Thu May 17
4,Rogers,6,12,L,Away,2018,Tue May 22
5,Grand Rapids,9,4,W,Home,2018,Sat May 26
6,Buffalo,9,17,L,Away,2018,Mon Apr 23
7,Monticello,4,6,L,Away,2018,Mon Apr 30
8,Sartell Sauk Rapids,14,8,W,Away,2018,Mon May  7
9,St. Cloud,4,3,W,Away,2018,Fri May 11
10,Brainerd,15,0,W,Away,2018,Sat May 19
11,Monticello,15,6,W,Home,2019,Tue Apr 16
12,Rogers,7,6,W,Home,2019,Thu Apr 25
13,Brainerd,18,0,W,Home,2019,Fri May  3
14,Rocori,15,3,W,Away,2019,Tue May  7
15,Grand Rapids,10,4,W,Away,2019,Sat May 11
16,Monticello,7,6,W,Away,2019,Thu May 23
17,Buffalo,10,12,L,Away,2019,Mon Apr 22
18,St. Cloud,10,3,W,Home,2019,Mon May  6
19,Big Lake,16,1,W,Home,2019,Thu May  9
20,Sartell Sauk Rapids,13,0,W,Away,2019,Tue May 14
21,St. Michael-Albertville,5,13,L,Away,2019,Tue May 21
