,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,St. Louis Park,15,2,W,Away,2018,Thu Apr 19
1,Maple Grove,14,2,W,Away,2018,Tue Apr 24
2,Blake,10,6,W,Away,2018,Tue May  1
3,Edina,12,7,W,Away,2018,Sat May  5
4,Mahtomedi,9,5,W,Home,2018,Sat May 12
5,Eden Prairie,8,3,W,Home,2018,Thu May 17
6,East Ridge,9,6,W,Home,2018,Sat Apr 21
7,Eagan,8,7,W,Home,2018,Sat Apr 28
8,Chaska,12,2,W,Away,2018,Thu May  3
9,Chanhassen,9,8,W,Away,2018,Tue May  8
10,Bloomington Kennedy,7,6,W,Home,2018,Tue May 15
11,Bloomington Jefferson,12,5,W,Home,2018,Tue May 22
12,St. Louis Park,25,0,W,Home,2019,Thu Apr 18
13,Mahtomedi,9,3,W,Away,2019,Sat Apr 27
14,Chaska,15,2,W,Home,2019,Thu May  2
15,Chanhassen,9,4,W,Home,2019,Tue May  7
16,Bloomington Kennedy,19,2,W,Away,2019,Tue May 14
17,Edina,11,7,W,Away,2019,Sat May 18
18,Holy Angels,13,2,W,Home,2019,Thu May 23
19,East Ridge,7,6,W,Away,2019,Sat Apr 20
20,Blake,13,4,W,Home,2019,Tue Apr 30
21,Prior Lake,4,3,W,Home,2019,Sat May  4
22,Eagan,14,8,W,Away,2019,Sat May 11
23,Eden Prairie,9,4,W,Away,2019,Thu May 16
24,Bloomington Jefferson,9,4,W,Away,2019,Tue May 21
