,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Robbinsdale Armstrong,8,7,W,Away,2018,Fri Apr 27
1,Elk River Zimmerman,8,7,W,Home,2018,Wed May  2
2,Wayzata,2,15,L,Away,2018,Sat May 12
3,Spring Lake Park,11,2,W,Home,2018,Wed May 16
4,Osseo Park Center,8,7,W,Away,2018,Mon May 21
5,Champlin Park,7,10,L,Home,2018,Fri May 25
6,Centennial,8,10,L,Away,2018,Mon Apr 30
7,Andover,7,8,L,Home,2018,Fri May  4
8,Maple Grove,5,3,W,Home,2018,Wed May  9
9,Irondale,5,7,L,Away,2018,Mon May 14
10,Anoka,14,4,W,Away,2018,Fri May 18
11,Totino-Grace,14,3,W,Away,2018,Wed May 23
12,Champlin Park,10,4,W,Home,2019,Fri Apr 19
13,Irondale,9,8,W,Away,2019,Fri Apr 26
14,Osseo Park Center,11,7,W,Home,2019,Wed May  1
15,Anoka,12,0,W,Away,2019,Mon May  6
16,Woodbury,12,6,W,Home,2019,Sat May 11
17,Andover,8,6,W,Away,2019,Fri May 17
18,Spring Lake Park,13,3,W,Away,2019,Wed May 22
19,Coon Rapids,16,5,W,Home,2019,Wed Apr 24
20,Robbinsdale Armstrong,14,3,W,Away,2019,Mon Apr 29
21,Totino-Grace,19,2,W,Home,2019,Fri May  3
22,Elk River Zimmerman,3,5,L,Home,2019,Wed May  8
23,Centennial,6,10,L,Home,2019,Wed May 15
24,Maple Grove,5,7,L,Away,2019,Mon May 20
