,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Mounds View,15,5,W,Away,2018,Thu Apr 12
1,Providence Academy,19,2,W,Away,2018,Thu Apr 26
2,Breck,11,7,W,Home,2018,Thu May  3
3,Minnetonka,4,10,L,Home,2018,Fri May 11
4,TrIMAC,20,2,W,Home,2018,Wed May 16
5,Holy Family,17,2,W,Home,2018,Mon May 21
6,Eden Prairie,3,7,L,Home,2018,Fri May 25
7,Chanhassen,4,15,L,Away,2018,Tue Apr 24
8,Benilde-St. Margarets,6,10,L,Home,2018,Tue May  1
9,Edina,12,11,W,Home,2018,Tue May  8
10,Orono,14,17,L,Away,2018,Tue May 15
11,Prior Lake,7,16,L,Home,2018,Fri May 18
12,Cretin-Derham Hall,15,7,W,Home,2018,Tue May 22
13,Chanhassen,6,11,L,Home,2019,Sat Apr 13
14,TrIMAC,24,1,W,Home,2019,Thu Apr 18
15,Orono,14,2,W,Home,2019,Sat Apr 27
16,Minnetonka,4,13,L,Away,2019,Sat May  4
17,Breck,7,5,W,Away,2019,Mon May 13
18,Lakeville South,14,7,W,Away,2019,Sat May 18
19,Eden Prairie,7,9,L,Away,2019,Thu May 23
20,Holy Family,17,2,W,Home,2019,Tue Apr 16
21,Providence Academy,15,4,W,Home,2019,Thu Apr 25
22,Benilde-St. Margarets,4,13,L,Away,2019,Tue Apr 30
23,Minneapolis,13,8,W,Away,2019,Sat May 11
24,Southwest Christian,18,1,W,Home,2019,Thu May 16
25,Edina,4,5,L,Away,2019,Tue May 21
