,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Rosemount,4,9,L,Away,2018,Thu Apr 12
1,Edina,6,7,L,Home,2018,Sat Apr 21
2,Prior Lake,4,14,L,Away,2018,Wed Apr 25
3,Chanhassen,4,14,L,Home,2018,Thu May  3
4,Minneapolis,15,6,W,Home,2018,Fri May 11
5,Holy Angels,10,16,L,Away,2018,Thu May 17
6,St. Louis Park,14,3,W,Home,2018,Thu May 24
7,Apple Valley,7,8,L,Home,2018,Fri Apr 20
8,Burnsville,5,6,L,Away,2018,Tue Apr 24
9,Eastview,12,11,W,Home,2018,Sat Apr 28
10,Bloomington Kennedy,2,4,L,Home,2018,Tue May  8
11,Chaska,9,6,W,Home,2018,Wed May 16
12,Benilde-St. Margarets,5,12,L,Away,2018,Tue May 22
13,Farmington,11,2,W,Home,2019,Fri Apr 12
14,Burnsville,12,9,W,Home,2019,Sat Apr 20
15,Chaska,14,4,W,Away,2019,Thu Apr 25
16,Chanhassen,9,8,W,Away,2019,Thu May  2
17,Bloomington Kennedy,13,9,W,Away,2019,Tue May  7
18,Holy Angels,13,4,W,Home,2019,Tue May 14
19,St. Louis Park,20,0,W,Away,2019,Thu May 23
20,Rosemount,2,9,L,Home,2019,Wed Apr 17
21,Minneapolis,16,2,W,Away,2019,Tue Apr 23
22,Eastview,9,7,W,Home,2019,Fri Apr 26
23,Edina,7,8,L,Home,2019,Sat May  4
24,Apple Valley,17,5,W,Home,2019,Sat May 11
25,Benilde-St. Margarets,4,9,L,Home,2019,Tue May 21
