,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Burnsville,10,3,W,Home,2018,Thu Apr 12
1,Rosemount,10,12,L,Home,2018,Sat Apr 21
2,Chanhassen,3,14,L,Home,2018,Thu Apr 26
3,Minnetonka,5,11,L,Away,2018,Thu May  3
4,Bloomington Jefferson,4,2,W,Away,2018,Tue May  8
5,Benilde-St. Margarets,6,7,L,Away,2018,Tue May 15
6,Edina,9,8,W,Away,2018,Thu May 24
7,Chaska,15,9,W,Away,2018,Wed Apr 25
8,Cretin-Derham Hall,10,9,W,Away,2018,Sat Apr 28
9,St. Thomas Academy,5,9,L,Away,2018,Sat May  5
10,Holy Angels,16,14,W,Home,2018,Thu May 10
11,St. Louis Park,17,8,W,Home,2018,Tue May 22
12,Rosemount,3,17,L,Home,2019,Tue Apr 16
13,Minneapolis,10,9,W,Home,2019,Sat Apr 20
14,Chanhassen,2,15,L,Away,2019,Thu Apr 25
15,Cretin-Derham Hall,6,12,L,Home,2019,Sat May  4
16,Holy Angels,8,12,L,Away,2019,Thu May  9
17,Burnsville,12,13,L,Away,2019,Mon May 20
18,Chaska,7,3,W,Away,2019,Thu Apr 18
19,Edina,7,10,L,Away,2019,Tue Apr 23
20,Owatonna,10,5,W,Away,2019,Fri Apr 26
21,Bloomington Jefferson,9,13,L,Home,2019,Tue May  7
22,Benilde-St. Margarets,2,19,L,Home,2019,Tue May 14
23,Eastview,7,18,L,Away,2019,Thu May 23
