,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Grand Rapids,2,18,L,Home,2018,Fri Apr 27
1,Owatonna,1,29,L,Away,2018,Sat May  5
2,St. Michael-Albertville,2,28,L,Away,2018,Fri May 11
3,Rocori,2,10,L,Away,2018,Tue May 15
4,Becker,0,15,L,Home,2018,Sat May 19
5,Grand Rapids,0,20,L,Away,2018,Thu May 24
6,St. Cloud,4,17,L,Away,2018,Mon Apr 23
7,Osseo Park Center,1,22,L,Home,2018,Sat Apr 28
8,Rosemount,0,24,L,Away,2018,Sat May 12
9,Sartell Sauk Rapids,2,10,L,Home,2018,Fri May 18
10,Hermantown Proctor,2,12,L,Home,2018,Mon May 21
11,Duluth,0,12,L,Home,2018,Sat May 26
12,Rogers,0,24,L,Away,2019,Mon Apr 22
13,Becker,0,18,L,Away,2019,Fri May  3
14,Moorhead,13,2,W,Away,2019,Tue May  7
15,St. Cloud,5,8,L,Away,2019,Mon May 13
16,Big Lake,11,10,W,Away,2019,Mon May 20
17,St. Michael-Albertville,0,20,L,Home,2019,Fri May 24
18,Monticello,0,8,L,Home,2019,Thu Apr 25
19,Buffalo,2,25,L,Home,2019,Thu May  2
20,Rocori,4,13,L,Home,2019,Mon May  6
21,Sartell Sauk Rapids,5,7,L,Home,2019,Thu May  9
22,Grand Rapids,2,14,L,Away,2019,Tue May 14
23,Chisago Lakes,4,18,L,Away,2019,Thu May 23
