,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Chisago Lakes,9,13,L,Home,2018,Thu Apr 26
1,Monticello,16,9,W,Home,2018,Fri May  4
2,Sartell Sauk Rapids,19,5,W,Home,2018,Thu May 10
3,Hermantown Proctor,18,10,W,Home,2018,Sat May 12
4,St. Cloud,18,7,W,Home,2018,Thu May 17
5,Becker,17,9,W,Home,2018,Mon Apr 23
6,Delano Rockford,9,12,L,Away,2018,Mon Apr 30
7,Hutchinson,21,0,W,Away,2018,Tue May  8
8,Holy Family,20,6,W,Away,2018,Fri May 11
9,St. Michael-Albertville,1,26,L,Away,2018,Tue May 15
10,Rocori,8,9,L,Away,2018,Mon May 21
11,Delano Rockford,5,10,L,Away,2019,Mon Apr 15
12,Becker,12,10,W,Home,2019,Mon Apr 22
13,Sartell Sauk Rapids,19,3,W,Home,2019,Mon May  6
14,Rocori,16,1,W,Home,2019,Wed May  8
15,Big Lake,24,1,W,Away,2019,Mon May 13
16,Chisago Lakes,5,7,L,Away,2019,Mon May 20
17,Moorhead,11,7,W,Home,2019,Fri May 24
18,Orono,4,5,L,Away,2019,Thu Apr 18
19,Brainerd,25,2,W,Away,2019,Thu May  2
20,St. Cloud,9,3,W,Away,2019,Tue May  7
21,St. Michael-Albertville,1,15,L,Home,2019,Thu May  9
22,Monticello,14,12,W,Home,2019,Fri May 17
23,Rogers,13,11,W,Away,2019,Thu May 23
