,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Bloomington Kennedy,3,10,L,Away,2018,Thu Apr 12
1,Park of Cottage Grove,15,8,W,Home,2018,Mon Apr 23
2,Prior Lake,2,15,L,Away,2018,Fri Apr 27
3,Eastview,6,13,L,Away,2018,Thu May  3
4,Shakopee,6,9,L,Home,2018,Thu May 10
5,Rosemount,8,16,L,Home,2018,Thu May 17
6,Orono,12,6,W,Home,2018,Sat Apr 21
7,Bloomington Jefferson,6,5,W,Home,2018,Tue Apr 24
8,Lakeville South,8,13,L,Home,2018,Tue May  1
9,Farmington,13,1,W,Home,2018,Tue May  8
10,Eagan,1,16,L,Away,2018,Tue May 15
11,Lakeville North,1,13,L,Away,2018,Tue May 22
12,Holy Angels,9,8,W,Home,2019,Tue Apr 16
13,Eagan,3,18,L,Home,2019,Tue Apr 23
14,Rosemount,4,17,L,Home,2019,Tue Apr 30
15,Apple Valley,12,11,W,Away,2019,Tue May  7
16,St. Louis Park,18,1,W,Home,2019,Mon May 13
17,Lakeville North,5,11,L,Home,2019,Thu May 16
18,Farmington,7,9,L,Away,2019,Tue May 21
19,Bloomington Jefferson,9,12,L,Away,2019,Sat Apr 20
20,Shakopee,4,13,L,Away,2019,Thu Apr 25
21,Prior Lake,3,14,L,Away,2019,Thu May  2
22,Lakeville South,9,19,L,Away,2019,Thu May  9
23,Eastview,13,12,W,Home,2019,Tue May 14
24,Bloomington Kennedy,13,12,W,Home,2019,Mon May 20
