,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Andover,7,8,L,Away,2018,Thu Apr 12
1,Anoka,17,5,W,Home,2018,Mon Apr 23
2,Blaine,10,8,W,Home,2018,Mon Apr 30
3,Totino-Grace,13,14,L,Home,2018,Thu May 10
4,Osseo Park Center,10,9,W,Home,2018,Wed May 16
5,Spring Lake Park,12,4,W,Away,2018,Wed May 23
6,Robbinsdale Armstrong,11,10,W,Away,2018,Wed Apr 18
7,Champlin Park,8,9,L,Away,2018,Fri Apr 27
8,Irondale,2,9,L,Home,2018,Wed May  9
9,Elk River Zimmerman,12,13,L,Away,2018,Mon May 14
10,Maple Grove,9,5,W,Away,2018,Mon May 21
11,Irondale,8,17,L,Away,2019,Mon Apr 15
12,Robbinsdale Armstrong,12,7,W,Away,2019,Mon Apr 22
13,Champlin Park,15,1,W,Home,2019,Fri Apr 26
14,Elk River Zimmerman,13,6,W,Home,2019,Wed May  1
15,Andover,13,6,W,Away,2019,Mon May  6
16,Blaine,10,6,W,Away,2019,Wed May 15
17,Totino-Grace,15,2,W,Home,2019,Wed May 22
18,Mounds View,10,7,W,Home,2019,Thu Apr 18
19,Osseo Park Center,16,4,W,Home,2019,Wed Apr 24
20,Anoka,17,5,W,Away,2019,Mon Apr 29
21,Coon Rapids,23,3,W,Home,2019,Thu May  2
22,Maple Grove,7,6,W,Away,2019,Mon May 13
23,Spring Lake Park,24,5,W,Home,2019,Mon May 20
