,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Centennial,9,8,W,Home,2018,Fri Apr 27
1,Grand Rapids,13,8,W,Home,2018,Wed May  2
2,Totino-Grace,18,7,W,Away,2018,Sat May 12
3,Spring Lake Park,10,6,W,Home,2018,Thu May 17
4,Irondale,5,11,L,Away,2018,Mon May 21
5,Osseo Park Center,13,11,W,Away,2018,Wed May 23
6,Blaine,10,7,W,Away,2018,Fri May 25
7,Robbinsdale Armstrong,10,9,W,Home,2018,Mon Apr 30
8,Elk River Zimmerman,9,10,L,Home,2018,Wed May  9
9,Maple Grove,5,14,L,Home,2018,Wed May 16
10,Duluth,5,6,L,Away,2018,Sat May 19
11,Andover,5,13,L,Away,2018,Tue May 22
12,Anoka,19,15,W,Home,2018,Thu May 24
13,Maple Grove,2,11,L,Away,2019,Mon Apr 15
14,Spring Lake Park,5,6,L,Home,2019,Mon Apr 22
15,Centennial,1,15,L,Away,2019,Fri Apr 26
16,Robbinsdale Armstrong,5,9,L,Home,2019,Wed May  1
17,Andover,8,12,L,Home,2019,Wed May 15
18,Osseo Park Center,15,4,W,Away,2019,Mon May 20
19,Duluth,5,17,L,Home,2019,Fri May 24
20,Blaine,4,10,L,Away,2019,Fri Apr 19
21,Irondale,3,8,L,Home,2019,Wed Apr 24
22,Totino-Grace,9,2,W,Home,2019,Mon Apr 29
23,Coon Rapids,11,6,W,Away,2019,Mon May 13
24,Anoka,6,5,W,Home,2019,Sat May 18
25,Elk River Zimmerman,5,11,L,Away,2019,Wed May 22
