,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Mahtomedi,11,10,W,Away,2018,Sat Apr 21
1,Bloomington Kennedy,14,3,W,Away,2018,Thu Apr 26
2,Bloomington Jefferson,14,4,W,Away,2018,Thu May  3
3,Wayzata,10,6,W,Away,2018,Thu May 10
4,St. Louis Park,18,2,W,Away,2018,Tue May 15
5,Chaska,13,1,W,Away,2018,Fri May 25
6,Eagan,15,8,W,Home,2018,Thu Apr 19
7,Blake,15,4,W,Home,2018,Tue Apr 24
8,Lakeville North,11,6,W,Away,2018,Sat Apr 28
9,Benilde-St. Margarets,8,9,L,Home,2018,Tue May  8
10,Lakeville South,12,6,W,Away,2018,Sat May 12
11,Eastview,9,5,W,Home,2018,Sat May 19
12,Blake,11,6,W,Away,2019,Sat Apr 13
13,Lakeville North,6,8,L,Home,2019,Thu Apr 18
14,Bloomington Kennedy,15,2,W,Home,2019,Thu Apr 25
15,Bloomington Jefferson,8,9,L,Home,2019,Thu May  2
16,Wayzata,9,4,W,Away,2019,Thu May  9
17,Stillwater,9,21,L,Away,2019,Thu May 16
18,Chaska,15,2,W,Home,2019,Thu May 23
19,Eagan,11,19,L,Away,2019,Tue Apr 16
20,Mahtomedi,10,9,W,Home,2019,Sat Apr 20
21,Prior Lake,8,11,L,Home,2019,Mon Apr 29
22,Benilde-St. Margarets,4,9,L,Away,2019,Tue May  7
23,St. Louis Park,19,0,W,Home,2019,Tue May 14
24,Cretin-Derham Hall,11,4,W,Home,2019,Sat May 18
