,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Delano Rockford,3,12,L,Home,2018,Tue Apr 24
1,Breck,3,9,L,Away,2018,Tue May  1
2,Hopkins,6,2,W,Home,2018,Sat May  5
3,Providence Academy,14,7,W,Away,2018,Thu May 10
4,Mounds View,10,9,W,Away,2018,Mon May 14
5,Orono,3,16,L,Away,2018,Mon May 21
6,Chanhassen,1,13,L,Home,2018,Fri May 25
7,Bloomington Kennedy,9,15,L,Home,2018,Wed Apr 25
8,Benilde-St. Margarets,2,12,L,Home,2018,Thu May  3
9,St. Louis Park,15,7,W,Home,2018,Tue May  8
10,Shakopee,7,11,L,Away,2018,Fri May 11
11,Bloomington Jefferson,6,9,L,Away,2018,Wed May 16
12,Holy Family,13,4,W,Home,2018,Tue May 22
13,Shakopee,5,20,L,Home,2019,Tue Apr 16
14,Bloomington Jefferson,4,14,L,Home,2019,Thu Apr 25
15,Benilde-St. Margarets,2,15,L,Away,2019,Thu May  2
16,St. Louis Park,14,1,W,Away,2019,Mon May  6
17,Southwest Christian,13,6,W,Away,2019,Tue May 14
18,Mounds View,2,6,L,Home,2019,Fri May 17
19,Chanhassen,2,15,L,Away,2019,Thu May 23
20,Bloomington Kennedy,3,7,L,Home,2019,Thu Apr 18
21,Breck,6,7,L,Home,2019,Tue Apr 30
22,Delano Rockford,6,7,L,Away,2019,Sat May  4
23,Orono,8,7,W,Home,2019,Fri May 10
24,Rochester Century,9,4,W,Away,2019,Wed May 15
25,Shakopee,3,18,L,Away,2019,Wed May 29
