,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,St. Michael-Albertville,1,17,L,Home,2018,Mon Apr 23
1,Grand Rapids,8,9,L,Away,2018,Sat Apr 28
2,Delano Rockford,8,9,L,Away,2018,Thu May  3
3,Monticello,15,0,W,Away,2018,Thu May 10
4,Rogers,7,11,L,Home,2018,Mon May 14
5,Forest Lake,8,6,W,Home,2018,Wed May 23
6,Buffalo,13,9,W,Away,2018,Thu Apr 26
7,St. Cloud,7,5,W,Home,2018,Mon Apr 30
8,Sartell Sauk Rapids,15,8,W,Away,2018,Fri May  4
9,Rocori,17,9,W,Home,2018,Fri May 11
10,Hutchinson,18,0,W,Away,2018,Fri May 18
11,Hermantown Proctor,2,7,L,Away,2019,Thu Apr 18
12,Rocori,14,6,W,Away,2019,Thu Apr 25
13,St. Michael-Albertville,2,17,L,Away,2019,Tue Apr 30
14,Delano Rockford,8,9,L,Away,2019,Sat May 11
15,Forest Lake,8,6,W,Away,2019,Wed May 15
16,Buffalo,7,5,W,Home,2019,Mon May 20
17,Brainerd,18,4,W,Home,2019,Thu May 23
18,St. Cloud,13,3,W,Home,2019,Mon Apr 22
19,Big Lake,22,0,W,Home,2019,Mon Apr 29
20,Rogers,8,12,L,Away,2019,Thu May  9
21,Monticello,7,8,L,Home,2019,Mon May 13
22,Duluth,6,10,L,Away,2019,Thu May 16
23,White Bear Lake,3,19,L,Away,2019,Wed May 22
