,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Maple Grove,1,20,L,Home,2019,Mon Apr 22
1,Elk River Zimmerman,6,16,L,Away,2019,Fri Apr 26
2,Centennial,3,23,L,Away,2019,Thu May  2
3,Totino-Grace,13,9,W,Home,2019,Mon May  6
4,Champlin Park,6,11,L,Home,2019,Mon May 13
5,Robbinsdale Armstrong,8,12,L,Home,2019,Thu May 16
6,Osseo Park Center,7,16,L,Away,2019,Thu May 23
7,Blaine,5,16,L,Away,2019,Wed Apr 24
8,Spring Lake Park,5,6,L,Home,2019,Mon Apr 29
9,Andover,2,16,L,Home,2019,Fri May  3
10,Irondale,3,16,L,Away,2019,Fri May 10
11,Anoka,5,14,L,Home,2019,Wed May 15
12,North St. Paul,18,2,W,Away,2019,Tue May 21
