,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Simley,14,5,W,Away,2018,Sat Apr 21
1,Mounds View,9,5,W,Home,2018,Thu Apr 26
2,White Bear Lake,8,21,L,Away,2018,Tue May  1
3,TrIMAC,15,2,W,Home,2018,Fri May  4
4,East Ridge,4,9,L,Home,2018,Thu May 10
5,Forest Lake,12,11,W,Away,2018,Tue May 15
6,Blake,7,15,L,Away,2018,Tue May 22
7,Stillwater,4,19,L,Home,2018,Tue Apr 24
8,Bloomington Kennedy,9,10,L,Home,2018,Sat Apr 28
9,Roseville,9,5,W,Home,2018,Thu May  3
10,Park of Cottage Grove,8,10,L,Away,2018,Tue May  8
11,St. Thomas Academy,6,13,L,Away,2018,Mon May 14
12,Woodbury,10,11,L,Home,2018,Thu May 17
13,Hastings,16,3,W,Home,2019,Tue Apr 16
14,Mounds View,6,4,W,Away,2019,Fri Apr 26
15,Roseville,9,8,W,Away,2019,Thu May  2
16,Park of Cottage Grove,4,6,L,Home,2019,Tue May  7
17,Forest Lake,14,3,W,Home,2019,Tue May 14
18,Chanhassen,4,11,L,Away,2019,Sat May 18
19,St. Thomas Academy,5,12,L,Home,2019,Thu May 23
20,Stillwater,6,16,L,Away,2019,Tue Apr 23
21,White Bear Lake,10,7,W,Home,2019,Tue Apr 30
22,Bloomington Kennedy,12,6,W,Away,2019,Sat May  4
23,East Ridge,2,10,L,Away,2019,Thu May  9
24,Woodbury,6,7,L,Away,2019,Thu May 16
25,Simley,8,4,W,Home,2019,Tue May 21
