,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Holy Family,13,4,W,Home,2018,Mon Apr 23
1,Becker,10,4,W,Home,2018,Fri Apr 27
2,Chisago Lakes,9,8,W,Home,2018,Thu May  3
3,Monticello,14,7,W,Away,2018,Mon May  7
4,Sartell Sauk Rapids,14,3,W,Away,2018,Tue May 15
5,St. Cloud,8,1,W,Away,2018,Mon May 21
6,Rocori,14,3,W,Home,2018,Thu May 24
7,Chaska,12,3,W,Away,2018,Tue Apr 24
8,Buffalo,12,9,W,Home,2018,Mon Apr 30
9,Orono,6,11,L,Home,2018,Sat May  5
10,Hutchinson,22,0,W,Home,2018,Sat May 12
11,St. Michael-Albertville,0,14,L,Home,2018,Thu May 17
12,Rogers,4,15,L,Away,2018,Wed May 23
13,Buffalo,10,5,W,Home,2019,Mon Apr 15
14,Waconia,15,2,W,Away,2019,Thu Apr 25
15,Chaska,7,6,W,Home,2019,Sat May  4
16,Southwest Christian,15,5,W,Home,2019,Tue May  7
17,Chisago Lakes,9,8,W,Home,2019,Sat May 11
18,Rochester JM Lourdes,19,5,W,Home,2019,Fri May 17
19,Shakopee,3,19,L,Away,2019,Thu May 23
20,Orono,6,8,L,Home,2019,Mon Apr 22
21,Holy Family,13,2,W,Home,2019,Thu May  2
22,Breck,7,9,L,Away,2019,Mon May  6
23,Orono,8,9,L,Away,2019,Thu May  9
24,Waconia,16,0,W,Home,2019,Mon May 13
25,Holy Family,17,8,W,Away,2019,Mon May 20
