,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Grand Rapids,9,2,W,Home,2018,Wed Apr 18
1,Hermantown Proctor,10,3,W,Home,2018,Tue Apr 24
2,Tartan,4,3,W,Away,2018,Tue May  1
3,Sartell Sauk Rapids,19,3,W,Away,2018,Tue May  8
4,Grand Rapids,7,0,W,Away,2018,Tue May 15
5,Champlin Park,6,5,W,Home,2018,Sat May 19
6,Park of Cottage Grove,8,7,W,Away,2018,Fri May 25
7,Minneapolis,12,9,W,Home,2018,Fri Apr 27
8,Simley,13,6,W,Home,2018,Sat May  5
9,Forest Lake,9,3,W,Home,2018,Sat May 12
10,Hill-Murray,2,5,L,Home,2018,Fri May 18
11,Hermantown Proctor,15,5,W,Away,2018,Wed May 23
12,Brainerd,12,0,W,Away,2018,Sat May 26
13,Rochester Century,15,3,W,Away,2019,Fri Apr 12
14,Woodbury,7,8,L,Away,2019,Sat Apr 20
15,Minneapolis,11,4,W,Home,2019,Fri Apr 26
16,Tartan,14,2,W,Away,2019,Fri May  3
17,Minnetonka,5,15,L,Home,2019,Sat May 11
18,White Bear Lake,6,10,L,Away,2019,Sat May 18
19,Champlin Park,17,5,W,Away,2019,Fri May 24
20,Northfield,8,7,W,Away,2019,Sat Apr 13
21,Grand Rapids,12,0,W,Home,2019,Tue Apr 23
22,Forest Lake,13,6,W,Away,2019,Wed May  1
23,Hermantown Proctor,11,6,W,Away,2019,Tue May  7
24,Chisago Lakes,10,6,W,Home,2019,Thu May 16
25,Hermantown Proctor,10,7,W,Home,2019,Wed May 22
