,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Apple Valley,17,1,W,Home,2018,Sat Apr 21
1,Shakopee,26,3,W,Home,2018,Tue May  1
2,Prior Lake,10,9,W,Away,2018,Mon May  7
3,Burnsville,16,1,W,Home,2018,Tue May 15
4,Eastview,7,8,L,Home,2018,Tue May 22
5,Chanhassen,8,15,L,Away,2018,Thu Apr 19
6,Benilde-St. Margarets,7,8,L,Away,2018,Sat Apr 28
7,Rosemount,16,4,W,Home,2018,Thu May  3
8,Farmington,23,0,W,Away,2018,Thu May 10
9,Lakeville South,20,7,W,Away,2018,Thu May 17
10,Lakeville North,15,9,W,Away,2018,Thu May 24
11,Chanhassen,19,11,W,Home,2019,Tue Apr 16
12,Burnsville,18,3,W,Away,2019,Tue Apr 23
13,Lakeville South,14,13,W,Home,2019,Tue Apr 30
14,Simley,17,1,W,Away,2019,Fri May  3
15,Shakopee,7,13,L,Away,2019,Thu May  9
16,Rosemount,10,7,W,Away,2019,Tue May 14
17,Prior Lake,7,11,L,Home,2019,Tue May 21
18,East Ridge,7,8,L,Away,2019,Thu Apr 18
19,Farmington,16,1,W,Home,2019,Thu Apr 25
20,Apple Valley,23,2,W,Away,2019,Thu May  2
21,Lakeville North,12,9,W,Home,2019,Mon May  6
22,Benilde-St. Margarets,8,14,L,Home,2019,Sat May 11
23,Eastview,15,11,W,Away,2019,Thu May 16
