,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Benilde-St. Margarets,6,9,L,Away,2018,Sat Apr 21
1,Stillwater,4,7,L,Away,2018,Thu Apr 26
2,Forest Lake,9,5,W,Home,2018,Fri May  4
3,Cretin-Derham Hall,9,4,W,Away,2018,Thu May 10
4,Mounds View,14,8,W,Home,2018,Wed May 16
5,Mahtomedi,9,13,L,Home,2018,Sat May 19
6,Tartan,12,2,W,Home,2018,Wed May 23
7,Park of Cottage Grove,9,8,W,Away,2018,Tue Apr 24
8,Woodbury,8,3,W,Away,2018,Thu May  3
9,Farmington,13,1,W,Away,2018,Mon May  7
10,Simley,16,9,W,Home,2018,Sat May 12
11,White Bear Lake,8,6,W,Away,2018,Thu May 17
12,Roseville,12,7,W,Home,2018,Mon May 21
13,Tartan,16,3,W,Away,2019,Tue Apr 16
14,Benilde-St. Margarets,6,7,L,Home,2019,Sat Apr 20
15,Stillwater,6,13,L,Home,2019,Thu Apr 25
16,Woodbury,12,6,W,Home,2019,Thu May  2
17,Mounds View,14,13,W,Away,2019,Tue May 14
18,St. Thomas Academy,9,5,W,Home,2019,Mon May 20
19,Simley,13,9,W,Away,2019,Wed May 22
20,Eagan,8,7,W,Home,2019,Thu Apr 18
21,Park of Cottage Grove,8,3,W,Home,2019,Mon Apr 22
22,Forest Lake,13,4,W,Away,2019,Tue Apr 30
23,Cretin-Derham Hall,10,2,W,Home,2019,Thu May  9
24,White Bear Lake,9,8,W,Home,2019,Thu May 16
25,Roseville,9,8,W,Away,2019,Tue May 21
