,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Rochester Century,17,3,W,Home,2018,Tue Apr 24
1,Bloomington Jefferson,11,12,L,Away,2018,Sat Apr 28
2,Burnsville,13,6,W,Home,2018,Thu May  3
3,Lakeville South,12,14,L,Home,2018,Tue May  8
4,Farmington,12,1,W,Away,2018,Tue May 15
5,Chanhassen,5,9,L,Away,2018,Sat May 19
6,Shakopee,17,7,W,Home,2018,Thu May 24
7,Lakeville North,7,12,L,Away,2018,Thu Apr 26
8,Rosemount,8,12,L,Away,2018,Tue May  1
9,Holy Angels,7,11,L,Away,2018,Sat May  5
10,Apple Valley,15,2,W,Away,2018,Thu May 10
11,Prior Lake,6,7,L,Home,2018,Thu May 17
12,Eagan,8,7,W,Away,2018,Tue May 22
13,Rochester Mayo,12,0,W,Away,2019,Thu Apr 18
14,Apple Valley,15,2,W,Home,2019,Thu Apr 25
15,Prior Lake,4,12,L,Away,2019,Tue Apr 30
16,Holy Angels,14,3,W,Home,2019,Sat May  4
17,Rosemount,8,13,L,Home,2019,Fri May 10
18,Eagan,11,15,L,Home,2019,Thu May 16
19,Bloomington Kennedy,18,7,W,Home,2019,Thu May 23
20,Farmington,5,2,W,Home,2019,Tue Apr 23
21,Bloomington Jefferson,7,9,L,Away,2019,Fri Apr 26
22,Lakeville North,12,7,W,Home,2019,Thu May  2
23,Shakopee,9,12,L,Home,2019,Tue May  7
24,Burnsville,12,13,L,Away,2019,Tue May 14
25,Lakeville South,11,18,L,Away,2019,Tue May 21
