,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Wayzata,6,7,L,Home,2018,Thu Apr 19
1,Edina,8,5,W,Home,2018,Tue Apr 24
2,Hopkins,14,1,W,Away,2018,Tue May  8
3,Minnetonka,4,7,L,Away,2018,Tue May 15
4,Stillwater,7,5,W,Home,2018,Sat May 19
5,Blake,7,3,W,Away,2018,Fri May 25
6,Hopkins,9,0,W,Home,2018,Sat Apr 21
7,Minnetonka,2,9,L,Home,2018,Thu Apr 26
8,Wayzata,3,10,L,Away,2018,Thu May  3
9,Edina,9,6,W,Away,2018,Thu May 10
10,Benilde-St. Margarets,3,8,L,Away,2018,Thu May 17
11,Orono,9,8,W,Home,2018,Tue May 22
12,Woodbury,13,4,W,Home,2019,Tue Apr 16
13,St. Michael-Albertville,9,4,W,Home,2019,Tue Apr 23
14,Minnetonka,7,10,L,Home,2019,Sat Apr 27
15,Wayzata,5,2,W,Away,2019,Thu May  2
16,Edina,4,5,L,Home,2019,Thu May  9
17,Minnetonka,6,5,W,Away,2019,Tue May 14
18,Blake,9,7,W,Home,2019,Thu May 23
19,Wayzata,9,2,W,Home,2019,Thu Apr 18
20,Edina,9,5,W,Away,2019,Thu Apr 25
21,Irondale,9,3,W,Home,2019,Tue Apr 30
22,Hopkins,14,1,W,Home,2019,Tue May  7
23,Maple Grove,12,3,W,Home,2019,Sat May 11
24,Benilde-St. Margarets,4,9,L,Home,2019,Thu May 16
