,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Lakeville South,17,13,W,Home,2018,Tue Apr 17
1,Eden Prairie,5,8,L,Away,2018,Tue Apr 24
2,Minnetonka,10,9,W,Home,2018,Tue May  1
3,Benilde-St. Margarets,7,12,L,Home,2018,Sat May  5
4,Eden Prairie,6,9,L,Home,2018,Thu May 10
5,Wayzata,6,9,L,Home,2018,Tue May 15
6,Bloomington Kennedy,8,9,L,Home,2018,Thu May 24
7,Bloomington Jefferson,7,6,W,Away,2018,Sat Apr 21
8,Wayzata,5,6,L,Away,2018,Thu Apr 26
9,Hopkins,15,1,W,Home,2018,Thu May  3
10,Blake,11,12,L,Away,2018,Tue May  8
11,Hopkins,11,0,W,Away,2018,Fri May 11
12,Minnetonka,6,15,L,Away,2018,Thu May 17
13,Minneapolis,16,11,W,Home,2019,Fri Apr 19
14,Eden Prairie,5,9,L,Home,2019,Thu Apr 25
15,Minnetonka,5,8,L,Away,2019,Tue Apr 30
16,Bloomington Jefferson,8,7,W,Away,2019,Sat May  4
17,Wayzata,10,9,W,Away,2019,Tue May 14
18,Benilde-St. Margarets,7,11,L,Home,2019,Sat May 18
19,Rosemount,8,13,L,Away,2019,Thu May 23
20,Bloomington Kennedy,10,7,W,Home,2019,Tue Apr 23
21,Wayzata,4,5,L,Home,2019,Sat Apr 27
22,Hopkins,17,4,W,Away,2019,Thu May  2
23,Eden Prairie,5,4,W,Away,2019,Thu May  9
24,Minnetonka,6,11,L,Home,2019,Thu May 16
25,Blake,5,4,W,Home,2019,Tue May 21
