,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Anoka,14,4,W,Away,2018,Wed Apr 25
1,Andover,12,3,W,Home,2018,Mon Apr 30
2,Spring Lake Park,16,1,W,Home,2018,Fri May  4
3,Robbinsdale Armstrong,19,9,W,Home,2018,Mon May  7
4,Maple Grove,11,10,W,Home,2018,Fri May 11
5,Rogers,8,7,W,Home,2018,Fri May 18
6,Irondale,7,8,L,Away,2018,Wed May 23
7,Osseo Park Center,15,5,W,Away,2018,Fri Apr 27
8,Blaine,7,8,L,Away,2018,Wed May  2
9,Totino-Grace,10,2,W,Away,2018,Sat May  5
10,Champlin Park,10,9,W,Away,2018,Wed May  9
11,Centennial,13,12,W,Home,2018,Mon May 14
12,Robbinsdale Armstrong,10,9,W,Away,2019,Mon Apr 15
13,Anoka,9,1,W,Away,2019,Mon Apr 22
14,Andover,11,4,W,Away,2019,Mon Apr 29
15,Rogers,9,12,L,Away,2019,Fri May  3
16,Blaine,5,3,W,Away,2019,Wed May  8
17,Irondale,5,9,L,Away,2019,Wed May 15
18,Champlin Park,11,5,W,Home,2019,Wed May 22
19,Osseo Park Center,9,6,W,Away,2019,Wed Apr 17
20,Coon Rapids,16,6,W,Home,2019,Fri Apr 26
21,Centennial,6,13,L,Away,2019,Wed May  1
22,Maple Grove,4,6,L,Home,2019,Mon May  6
23,Spring Lake Park,13,3,W,Home,2019,Mon May 13
24,Totino-Grace,13,8,W,Home,2019,Mon May 20
