,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Owatonna,6,5,W,Home,2018,Mon Apr 23
1,Rosemount,2,14,L,Home,2018,Thu Apr 26
2,Prior Lake,1,17,L,Home,2018,Thu May  3
3,Burnsville,1,13,L,Away,2018,Tue May  8
4,St. Thomas Academy,0,11,L,Home,2018,Sat May 12
5,Apple Valley,3,12,L,Home,2018,Thu May 17
6,Lakeville South,5,11,L,Away,2018,Thu May 24
7,Breck,2,6,L,Home,2018,Tue Apr 24
8,Lakeville North,4,14,L,Away,2018,Tue May  1
9,East Ridge,1,13,L,Home,2018,Mon May  7
10,Eagan,0,23,L,Home,2018,Thu May 10
11,Eastview,1,12,L,Home,2018,Tue May 15
12,Shakopee,4,11,L,Away,2018,Tue May 22
13,Bloomington Jefferson,2,11,L,Away,2019,Fri Apr 12
14,Hopkins,17,4,W,Away,2019,Thu Apr 18
15,Eastview,2,5,L,Away,2019,Tue Apr 23
16,Apple Valley,8,6,W,Away,2019,Tue Apr 30
17,Lakeville South,4,12,L,Home,2019,Tue May  7
18,Prior Lake,2,14,L,Away,2019,Tue May 14
19,Burnsville,9,7,W,Home,2019,Tue May 21
20,St. Thomas Academy,6,7,L,Away,2019,Tue Apr 16
21,Rochester Mayo,11,3,W,Home,2019,Sat Apr 20
22,Eagan,1,16,L,Away,2019,Thu Apr 25
23,Rosemount,5,10,L,Away,2019,Thu May  2
24,Lakeville North,3,9,L,Home,2019,Thu May  9
25,Shakopee,3,10,L,Home,2019,Thu May 16
