,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Park of Cottage Grove,4,14,L,Home,2018,Thu Apr 26
1,Stillwater,2,19,L,Away,2018,Thu May  3
2,Woodbury,8,11,L,Home,2018,Tue May  8
3,Hermantown Proctor,16,5,W,Away,2018,Fri May 11
4,Cretin-Derham Hall,11,12,L,Home,2018,Tue May 15
5,Grand Rapids,8,7,W,Home,2018,Sat May 19
6,Chisago Lakes,6,8,L,Away,2018,Wed May 23
7,Roseville,5,10,L,Away,2018,Fri Apr 27
8,East Ridge,5,9,L,Away,2018,Fri May  4
9,Duluth,3,9,L,Away,2018,Sat May 12
10,Mounds View,9,16,L,Away,2018,Thu May 17
11,White Bear Lake,5,17,L,Home,2018,Tue May 22
12,Hastings,8,18,L,Away,2018,Fri May 25
13,Hill-Murray,11,6,W,Away,2019,Tue Apr 16
14,Park of Cottage Grove,6,9,L,Away,2019,Thu Apr 25
15,Duluth,6,13,L,Home,2019,Wed May  1
16,Grand Rapids,6,1,W,Away,2019,Fri May  3
17,Hermantown Proctor,17,6,W,Home,2019,Mon May 13
18,Chisago Lakes,6,8,L,Home,2019,Wed May 15
19,White Bear Lake,7,17,L,Away,2019,Tue May 21
20,Roseville,6,8,L,Home,2019,Tue Apr 23
21,East Ridge,4,13,L,Home,2019,Tue Apr 30
22,Stillwater,2,17,L,Home,2019,Thu May  2
23,Woodbury,3,9,L,Away,2019,Tue May  7
24,Cretin-Derham Hall,3,14,L,Away,2019,Tue May 14
25,Mounds View,7,9,L,Home,2019,Thu May 16
