,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Hermantown Proctor,6,4,W,Away,2018,Tue Apr 17
1,Brainerd,18,2,W,Away,2018,Fri Apr 27
2,Champlin Park,8,13,L,Away,2018,Wed May  2
3,Spring Lake Park,7,5,W,Away,2018,Mon May  7
4,Duluth,0,7,L,Home,2018,Tue May 15
5,Brainerd,20,0,W,Home,2018,Thu May 24
6,Duluth,2,9,L,Away,2018,Wed Apr 18
7,Chisago Lakes,9,8,W,Home,2018,Sat Apr 28
8,Hermantown Proctor,5,6,L,Home,2018,Fri May  4
9,St. Paul,6,7,L,Home,2018,Sat May 12
10,Forest Lake,7,8,L,Away,2018,Sat May 19
11,Becker,4,9,L,Away,2018,Sat May 26
12,White Bear Lake,0,16,L,Away,2019,Fri Apr 19
13,Duluth,0,12,L,Away,2019,Tue Apr 23
14,Providence Academy,3,4,L,Away,2019,Tue Apr 30
15,Moorhead,9,5,W,Home,2019,Thu May  9
16,Brainerd,14,2,W,Home,2019,Tue May 14
17,Hermantown Proctor,9,10,L,Away,2019,Mon May 20
18,St. Paul,3,4,L,Away,2019,Sat Apr 20
19,Forest Lake,1,6,L,Home,2019,Fri May  3
20,Becker,4,10,L,Home,2019,Sat May 11
21,Hermantown Proctor,6,5,W,Home,2019,Wed May 15
22,Park of Cottage Grove,1,15,L,Away,2019,Thu May 23
