,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Park of Cottage Grove,11,2,W,Away,2018,Fri Apr 20
1,Tartan,19,4,W,Away,2018,Wed Apr 25
2,Hill-Murray,20,8,W,Home,2018,Mon Apr 30
3,Northfield,17,8,W,Home,2018,Mon May  7
4,Mahtomedi,9,18,L,Away,2018,Tue May 15
5,Rochester Mayo,17,4,W,Home,2018,Mon May 21
6,Forest Lake,18,8,W,Home,2018,Fri May 25
7,Simley,18,7,W,Away,2018,Mon Apr 23
8,Orono,8,10,L,Home,2018,Sat Apr 28
9,North St. Paul,20,1,W,Home,2018,Wed May  2
10,TrIMAC,17,6,W,Away,2018,Fri May 11
11,St. Thomas Academy,10,11,L,Away,2018,Wed May 16
12,Rochester Century,15,6,W,Away,2018,Tue May 22
13,Cretin-Derham Hall,3,16,L,Away,2019,Tue Apr 16
14,Mounds View,4,11,L,Away,2019,Tue Apr 23
15,Hill-Murray,19,0,W,Away,2019,Mon Apr 29
16,TrIMAC,18,12,W,Home,2019,Fri May  3
17,Henry Sibley,14,7,W,Away,2019,Tue May  7
18,Rochester Century,18,7,W,Home,2019,Sat May 11
19,St. Thomas Academy,3,15,L,Home,2019,Wed May 15
20,Lakeville South,8,17,L,Away,2019,Sat Apr 20
21,Tartan,12,9,W,Home,2019,Thu Apr 25
22,North St. Paul,21,0,W,Away,2019,Wed May  1
23,Simley,11,13,L,Home,2019,Mon May  6
24,Mahtomedi,6,20,L,Home,2019,Thu May  9
25,Woodbury,5,11,L,Home,2019,Mon May 13
