,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Simley,1,15,L,Home,2019,Thu Apr 25
1,Tartan,2,15,L,Home,2019,Wed May  1
2,Hastings,7,14,L,Home,2019,Tue May  7
3,TrIMAC,4,15,L,Away,2019,Mon May 13
4,Hill-Murray,7,3,W,Home,2019,Fri May 17
5,North St. Paul,10,7,W,Away,2019,Mon Apr 22
6,Mahtomedi,1,14,L,Away,2019,Mon Apr 29
7,St. Paul,4,7,L,Home,2019,Sat May  4
8,St. Thomas Academy,0,18,L,Away,2019,Thu May  9
9,St. Paul,5,6,L,Away,2019,Wed May 15
10,Southwest Christian,7,4,W,Home,2019,Tue May 21
