,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Mounds View,2,18,L,Home,2018,Sat Apr 21
1,Minneapolis,4,15,L,Home,2018,Sat Apr 28
2,TrIMAC,11,10,W,Home,2018,Sat May  5
3,Buffalo,10,18,L,Away,2018,Sat May 12
4,Hill-Murray,7,13,L,Home,2018,Sat May 19
5,Duluth,5,15,L,Home,2018,Wed May 23
6,Grand Rapids,4,6,L,Home,2018,Tue Apr 17
7,Duluth,3,10,L,Away,2018,Tue Apr 24
8,Grand Rapids,6,5,W,Away,2018,Fri May  4
9,Forest Lake,5,16,L,Home,2018,Fri May 11
10,St. Paul,10,6,W,Away,2018,Thu May 17
11,Brainerd,12,2,W,Away,2018,Mon May 21
12,Chisago Lakes,7,2,W,Home,2019,Thu Apr 18
13,Duluth,6,11,L,Home,2019,Tue May  7
14,Moorhead,10,4,W,Away,2019,Sat May 11
15,Grand Rapids,5,6,L,Away,2019,Wed May 15
16,Grand Rapids,10,9,W,Home,2019,Mon May 20
17,TrIMAC,19,9,W,Away,2019,Wed Apr 24
18,Minneapolis,13,14,L,Away,2019,Sat Apr 27
19,Tartan,9,11,L,Home,2019,Sat May  4
20,Hill-Murray,14,3,W,Away,2019,Fri May 10
21,Forest Lake,6,17,L,Away,2019,Mon May 13
22,St. Paul,13,8,W,Away,2019,Sat May 18
23,Duluth,7,10,L,Away,2019,Wed May 22
