,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Tartan,7,6,W,Away,2018,Mon Apr 23
1,Hastings,8,20,L,Away,2018,Mon Apr 30
2,Simley,8,10,L,Away,2018,Tue May  8
3,Minneapolis,12,11,W,Away,2018,Mon May 14
4,Irondale,4,15,L,Home,2018,Thu May 17
5,Hermantown Proctor,13,7,W,Away,2018,Sat May 19
6,St. Thomas Academy,6,14,L,Home,2018,Thu Apr 26
7,Mahtomedi,6,19,L,Home,2018,Wed May  2
8,North St. Paul,19,0,W,Home,2018,Wed May 16
9,Duluth,5,2,W,Away,2018,Fri May 18
10,Roseville,6,7,L,Away,2018,Wed May 23
11,Forest Lake,6,11,L,Home,2019,Tue Apr 16
12,Tartan,0,8,L,Home,2019,Mon Apr 22
13,St. Thomas Academy,0,18,L,Away,2019,Thu Apr 25
14,Mahtomedi,1,18,L,Away,2019,Wed May  1
15,Simley,0,16,L,Home,2019,Tue May  7
16,North St. Paul,16,3,W,Away,2019,Wed May 15
17,St. Paul,10,8,W,Away,2019,Tue May 21
18,White Bear Lake,1,15,L,Away,2019,Thu Apr 18
19,Mounds View,1,17,L,Away,2019,Wed Apr 24
20,Hastings,0,19,L,Home,2019,Mon Apr 29
21,Moorhead,3,11,L,Home,2019,Thu May  2
22,Hermantown Proctor,3,14,L,Home,2019,Fri May 10
23,Henry Sibley,3,7,L,Away,2019,Fri May 17
