,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,St. Thomas Academy,14,11,W,Home,2018,Fri Apr 13
1,Totino-Grace,17,5,W,Away,2018,Fri Apr 20
2,Orono,12,9,W,Away,2018,Thu Apr 26
3,Eastview,11,7,W,Home,2018,Sat May  5
4,Apple Valley,14,6,W,Home,2018,Sat May 12
5,Breck,17,6,W,Home,2018,Tue May 22
6,St. Louis Park,21,6,W,Home,2018,Tue Apr 17
7,Minneapolis,14,9,W,Away,2018,Tue Apr 24
8,Providence Academy,24,8,W,Away,2018,Tue May  1
9,Bloomington Kennedy,14,16,L,Away,2018,Thu May 10
10,Bloomington Jefferson,16,10,W,Home,2018,Thu May 17
11,St. Thomas Academy,1,12,L,Home,2019,Fri Apr 12
12,Apple Valley,12,11,W,Away,2019,Mon Apr 22
13,Holy Family,11,9,W,Home,2019,Tue Apr 30
14,Bloomington Kennedy,12,8,W,Home,2019,Thu May  9
15,Bloomington Jefferson,4,13,L,Away,2019,Tue May 14
16,Orono,16,15,W,Home,2019,Tue May 21
17,Burnsville,8,9,L,Away,2019,Tue Apr 16
18,Breck,6,13,L,Away,2019,Sat Apr 27
19,Eastview,3,14,L,Away,2019,Sat May  4
20,Hopkins,9,8,W,Away,2019,Sat May 11
21,Minneapolis,13,18,L,Home,2019,Sat May 18
22,Benilde-St. Margarets,2,13,L,Away,2019,Thu May 23
