,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Delano Rockford,4,13,L,Away,2018,Mon Apr 23
1,Hutchinson,7,0,W,Away,2018,Mon Apr 30
2,St. Michael-Albertville,1,20,L,Away,2018,Mon May  7
3,Buffalo,6,20,L,Home,2018,Fri May 11
4,Rogers,4,16,L,Home,2018,Thu May 17
5,Blake,2,17,L,Away,2018,Mon May 21
6,Monticello,6,10,L,Home,2018,Thu Apr 26
7,Sartell Sauk Rapids,4,7,L,Home,2018,Thu May  3
8,St. Cloud,1,10,L,Home,2018,Thu May 10
9,Rocori,5,2,W,Away,2018,Mon May 14
10,Breck,4,8,L,Home,2018,Sat May 19
11,Chaska,4,13,L,Away,2018,Tue May 22
12,Blake,2,17,L,Away,2019,Tue Apr 16
13,Orono,3,17,L,Away,2019,Mon Apr 29
14,Delano Rockford,2,13,L,Away,2019,Thu May  2
15,Breck,3,11,L,Away,2019,Thu May  9
16,Orono,2,18,L,Home,2019,Thu May 16
17,Waconia,9,3,W,Away,2019,Mon Apr 22
18,Holy Angels,9,11,L,Away,2019,Tue Apr 30
19,Providence Academy,6,15,L,Home,2019,Tue May  7
20,Southwest Christian,13,14,L,Away,2019,Mon May 13
21,Delano Rockford,8,17,L,Home,2019,Mon May 20
22,Moorhead,8,9,L,Home,2019,Sat May 25
