,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Eden Prairie,0,9,L,Away,2018,Sat Apr 21
1,St. Paul,3,4,L,Home,2018,Thu Apr 26
2,Wayzata,0,17,L,Home,2018,Tue May  1
3,Chaska,2,6,L,Away,2018,Sat May  5
4,Edina,0,11,L,Home,2018,Fri May 11
5,Wayzata,0,19,L,Away,2018,Thu May 17
6,Minnetonka,2,15,L,Home,2018,Fri May 25
7,Shakopee,3,17,L,Away,2018,Tue Apr 24
8,Breck,0,5,L,Home,2018,Sat Apr 28
9,Edina,1,15,L,Away,2018,Thu May  3
10,Eden Prairie,1,14,L,Home,2018,Tue May  8
11,St. Louis Park,4,8,L,Home,2018,Wed May 16
12,Minnetonka,1,14,L,Away,2018,Tue May 22
13,St. Louis Park,9,4,W,Away,2019,Tue Apr 16
14,Shakopee,3,30,L,Home,2019,Sat Apr 20
15,Southwest Christian,9,8,W,Home,2019,Thu Apr 25
16,Eden Prairie,1,14,L,Away,2019,Tue May  7
17,Holy Angels,8,9,L,Home,2019,Sat May 11
18,Wayzata,1,14,L,Home,2019,Thu May 16
19,Minneapolis,7,13,L,Home,2019,Tue May 21
20,Farmington,4,17,L,Home,2019,Thu Apr 18
21,Breck,4,11,L,Away,2019,Tue Apr 23
22,Edina,4,17,L,Home,2019,Thu May  2
23,Minnetonka,0,15,L,Away,2019,Thu May  9
24,St. Paul,4,0,W,Away,2019,Tue May 14
25,Providence Academy,8,7,W,Away,2019,Sat May 18
