,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,St. Cloud,2,14,L,Away,2018,Fri Apr 20
1,Holy Family,0,7,L,Home,2018,Mon Apr 30
2,Buffalo,0,21,L,Home,2018,Tue May  8
3,Delano Rockford,0,22,L,Away,2018,Sat May 12
4,Chisago Lakes,0,18,L,Home,2018,Fri May 18
5,Sartell Sauk Rapids,4,17,L,Away,2018,Tue May 22
6,Rogers,1,21,L,Away,2018,Thu Apr 26
7,Becker,0,17,L,Away,2018,Fri May  4
8,Mankato,3,9,L,Home,2018,Wed May  9
9,Monticello,0,21,L,Home,2018,Tue May 15
10,Rocori,3,13,L,Home,2018,Sat May 19
11,St. Michael-Albertville,0,16,L,Home,2018,Thu May 24
