,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Maple Grove,8,7,W,Away,2018,Thu Apr 12
1,Osseo Park Center,11,7,W,Home,2018,Mon Apr 23
2,Spring Lake Park,15,7,W,Away,2018,Fri Apr 27
3,Totino-Grace,17,7,W,Home,2018,Fri May  4
4,Centennial,9,2,W,Away,2018,Wed May  9
5,Blaine,7,5,W,Home,2018,Mon May 14
6,Hill-Murray,15,4,W,Away,2018,Thu May 17
7,Elk River Zimmerman,8,7,W,Home,2018,Wed May 23
8,Totino-Grace,18,4,W,Home,2018,Sat Apr 21
9,Andover,11,7,W,Away,2018,Wed Apr 25
10,Robbinsdale Armstrong,13,9,W,Away,2018,Wed May  2
11,Anoka,17,0,W,Home,2018,Fri May 11
12,Champlin Park,11,5,W,Home,2018,Mon May 21
13,Spring Lake Park,19,3,W,Away,2019,Fri Apr 12
14,Totino-Grace,20,0,W,Away,2019,Wed Apr 17
15,Blaine,8,9,L,Home,2019,Fri Apr 26
16,Anoka,17,2,W,Away,2019,Fri May  3
17,Coon Rapids,16,3,W,Home,2019,Fri May 10
18,Maple Grove,10,2,W,Away,2019,Fri May 17
19,Osseo Park Center,15,5,W,Home,2019,Fri May 24
20,Centennial,17,8,W,Home,2019,Mon Apr 15
21,Champlin Park,8,3,W,Away,2019,Wed Apr 24
22,Eden Prairie,3,9,L,Away,2019,Tue Apr 30
23,Robbinsdale Armstrong,12,4,W,Away,2019,Mon May  6
24,Elk River Zimmerman,9,5,W,Home,2019,Wed May 15
25,Andover,11,9,W,Away,2019,Tue May 21
