,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Wayzata,6,12,L,Home,2018,Mon Apr 23
1,Eastview,12,7,W,Home,2018,Thu Apr 26
2,Farmington,14,4,W,Home,2018,Tue May  1
3,Apple Valley,15,5,W,Away,2018,Tue May  8
4,Minnetonka,7,15,L,Away,2018,Mon May 14
5,Shakopee,10,6,W,Away,2018,Fri May 18
6,Eagan,9,15,L,Home,2018,Thu May 24
7,Rochester Mayo,15,0,W,Home,2018,Tue Apr 24
8,Chanhassen,6,11,L,Home,2018,Sat Apr 28
9,Lakeville South,17,9,W,Away,2018,Thu May  3
10,Prior Lake,6,7,L,Away,2018,Thu May 10
11,Rosemount,9,5,W,Home,2018,Tue May 15
12,Burnsville,13,1,W,Home,2018,Tue May 22
13,Chanhassen,8,6,W,Away,2019,Thu Apr 18
14,Rosemount,14,11,W,Away,2019,Tue Apr 23
15,Shakopee,11,10,W,Home,2019,Tue Apr 30
16,St. Thomas Academy,6,12,L,Home,2019,Sat May  4
17,Farmington,9,3,W,Away,2019,Thu May  9
18,Burnsville,11,5,W,Away,2019,Thu May 16
19,Wayzata,7,10,L,Away,2019,Sat Apr 20
20,Prior Lake,10,9,W,Away,2019,Thu Apr 25
21,Eastview,7,12,L,Away,2019,Thu May  2
22,Eagan,9,12,L,Away,2019,Mon May  6
23,Lakeville South,14,8,W,Home,2019,Tue May 14
24,Apple Valley,18,3,W,Home,2019,Tue May 21
