,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Edina,13,17,L,Away,2018,Tue Apr 17
1,Shakopee,13,10,W,Away,2018,Thu Apr 26
2,Burnsville,13,8,W,Away,2018,Tue May  1
3,Eastview,14,12,W,Away,2018,Tue May  8
4,Chanhassen,6,12,L,Home,2018,Sat May 12
5,Eagan,7,20,L,Home,2018,Thu May 17
6,Farmington,11,5,W,Home,2018,Thu May 24
7,Stillwater,4,14,L,Away,2018,Sat Apr 21
8,White Bear Lake,13,14,L,Away,2018,Fri Apr 27
9,Lakeville North,9,17,L,Home,2018,Thu May  3
10,Rosemount,6,15,L,Home,2018,Thu May 10
11,Apple Valley,19,10,W,Home,2018,Tue May 15
12,Prior Lake,4,11,L,Away,2018,Mon May 21
13,Mounds View,17,7,W,Home,2019,Tue Apr 16
14,Apple Valley,16,2,W,Away,2019,Tue Apr 23
15,Eagan,13,14,L,Away,2019,Tue Apr 30
16,Stillwater,8,15,L,Home,2019,Sat May  4
17,Burnsville,19,9,W,Home,2019,Thu May  9
18,Prior Lake,7,18,L,Home,2019,Thu May 16
19,Eastview,18,11,W,Home,2019,Tue May 21
20,Hastings,17,8,W,Home,2019,Sat Apr 20
21,Rosemount,12,11,W,Away,2019,Thu Apr 25
22,Shakopee,14,15,L,Home,2019,Thu May  2
23,Farmington,12,4,W,Away,2019,Tue May  7
24,Lakeville North,8,14,L,Away,2019,Tue May 14
25,Blake,7,14,L,Home,2019,Sat May 18
