,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Chanhassen,10,11,L,Home,2018,Sat Apr 21
1,North St. Paul,20,1,W,Home,2018,Thu Apr 26
2,Hill-Murray,19,6,W,Away,2018,Wed May  2
3,Tartan,18,4,W,Away,2018,Tue May  8
4,Benilde-St. Margarets,5,9,L,Away,2018,Sat May 12
5,Hastings,18,9,W,Home,2018,Tue May 15
6,East Ridge,13,9,W,Away,2018,Sat May 19
7,St. Thomas Academy,10,6,W,Home,2018,Tue Apr 24
8,Wayzata,14,13,W,Away,2018,Sat Apr 28
9,Prior Lake,2,10,L,Away,2018,Sat May  5
10,Stillwater,16,8,W,Away,2018,Wed May  9
11,White Bear Lake,18,5,W,Home,2018,Mon May 14
12,Simley,18,9,W,Home,2018,Fri May 18
13,Stillwater,6,13,L,Home,2019,Thu Apr 18
14,St. Thomas Academy,7,10,L,Away,2019,Tue Apr 23
15,Benilde-St. Margarets,3,9,L,Home,2019,Sat Apr 27
16,Hill-Murray,18,1,W,Home,2019,Wed May  1
17,Tartan,12,4,W,Home,2019,Tue May  7
18,Prior Lake,2,13,L,Home,2019,Sat May 11
19,St. Michael-Albertville,10,9,W,Home,2019,Sat May 18
20,Chanhassen,9,10,L,Away,2019,Sat Apr 20
21,North St. Paul,18,0,W,Away,2019,Thu Apr 25
22,Henry Sibley,14,1,W,Home,2019,Mon Apr 29
23,Wayzata,9,7,W,Home,2019,Sat May  4
24,Hastings,20,6,W,Away,2019,Thu May  9
25,Simley,12,6,W,Away,2019,Fri May 17
