,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Rochester Mayo,4,7,L,Away,2018,Fri Apr 20
1,Rochester JM Lourdes,2,6,L,Away,2018,Thu Apr 26
2,Rochester Century,4,13,L,Home,2018,Fri May  4
3,Hutchinson,9,3,W,Away,2018,Wed May  9
4,Rochester JM Lourdes,9,12,L,Home,2018,Fri May 18
5,Northfield,0,11,L,Away,2018,Mon May 21
6,Owatonna,5,13,L,Home,2018,Tue Apr 24
7,Northfield,3,12,L,Home,2018,Mon Apr 30
8,Rochester Century,10,9,W,Away,2018,Mon May  7
9,Owatonna,3,15,L,Away,2018,Mon May 14
10,Rochester Mayo,6,13,L,Home,2018,Sat May 19
11,St. Paul,5,10,L,Home,2018,Tue May 22
12,Rochester Mayo,11,5,W,Home,2019,Mon Apr 15
13,St. Paul,7,6,W,Away,2019,Mon Apr 29
14,Rochester Century,14,8,W,Away,2019,Thu May  2
15,Owatonna,7,8,L,Home,2019,Thu May  9
16,Rochester JM Lourdes,11,4,W,Home,2019,Mon May 13
17,Northfield,5,14,L,Home,2019,Thu May 16
18,Rochester JM Lourdes,12,7,W,Home,2019,Wed Apr 24
19,Northfield,5,13,L,Away,2019,Tue Apr 30
20,Owatonna,10,5,W,Away,2019,Tue May  7
21,Waconia,17,6,W,Home,2019,Fri May 10
22,Rochester Mayo,7,10,L,Away,2019,Wed May 15
23,Rochester Century,17,4,W,Home,2019,Mon May 20
