,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Irondale,7,8,L,Home,2018,Thu Apr 12
1,Benilde-St. Margarets,2,14,L,Home,2018,Tue Apr 24
2,Spring Lake Park,10,5,W,Home,2018,Mon Apr 30
3,Osseo Park Center,11,14,L,Away,2018,Fri May  4
4,Blaine,3,5,L,Away,2018,Wed May  9
5,Robbinsdale Armstrong,10,12,L,Home,2018,Mon May 14
6,Centennial,5,9,L,Home,2018,Mon May 21
7,Totino-Grace,10,5,W,Home,2018,Wed Apr 25
8,Anoka,12,5,W,Away,2018,Wed May  2
9,Andover,11,6,W,Home,2018,Mon May  7
10,Elk River Zimmerman,10,11,L,Away,2018,Fri May 11
11,Champlin Park,14,5,W,Away,2018,Wed May 16
12,Champlin Park,11,2,W,Home,2019,Mon Apr 15
13,Coon Rapids,20,1,W,Away,2019,Mon Apr 22
14,Osseo Park Center,13,5,W,Away,2019,Mon Apr 29
15,Elk River Zimmerman,6,4,W,Away,2019,Mon May  6
16,Centennial,6,7,L,Home,2019,Mon May 13
17,Irondale,2,10,L,Home,2019,Fri May 17
18,Spring Lake Park,15,2,W,Away,2019,Fri May 24
19,Anoka,12,3,W,Home,2019,Wed Apr 17
20,Andover,17,4,W,Home,2019,Wed Apr 24
21,Robbinsdale Armstrong,7,2,W,Home,2019,Fri May  3
22,Eden Prairie,3,12,L,Away,2019,Sat May 11
23,Totino-Grace,14,1,W,Home,2019,Wed May 15
24,Blaine,7,5,W,Home,2019,Mon May 20
