,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Apple Valley,8,10,L,Home,2018,Wed Apr 25
1,Hermantown Proctor,15,4,W,Away,2018,Sat Apr 28
2,Breck,11,10,W,Away,2018,Wed May  9
3,Hill-Murray,11,12,L,Home,2018,Mon May 14
4,St. Paul,15,10,W,Away,2018,Sat May 19
5,Simley,10,14,L,Home,2018,Wed May 23
6,Holy Angels,9,14,L,Home,2018,Tue Apr 24
7,Duluth,9,12,L,Away,2018,Fri Apr 27
8,St. Louis Park,13,6,W,Away,2018,Tue May  1
9,Bloomington Jefferson,6,15,L,Away,2018,Fri May 11
10,Rochester Century,10,5,W,Home,2018,Wed May 16
11,TrIMAC,21,7,W,Home,2018,Mon May 21
12,Edina,11,16,L,Away,2019,Fri Apr 19
13,Bloomington Jefferson,2,16,L,Home,2019,Tue Apr 23
14,Hermantown Proctor,14,13,W,Home,2019,Sat Apr 27
15,Rochester Mayo,19,4,W,Home,2019,Thu May  2
16,Southwest Christian,22,3,W,Home,2019,Thu May  9
17,Hopkins,13,7,W,Away,2019,Tue May 21
18,Bloomington Kennedy,9,10,L,Away,2019,Sat Apr 20
19,Duluth,4,11,L,Away,2019,Fri Apr 26
20,St. Louis Park,21,0,W,Home,2019,Tue Apr 30
21,Breck,17,12,W,Home,2019,Tue May  7
22,Blake,8,13,L,Home,2019,Sat May 11
23,Holy Angels,18,13,W,Away,2019,Sat May 18
