,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Orono,14,8,W,Home,2018,Thu Apr 19
1,Eden Prairie,9,2,W,Away,2018,Thu Apr 26
2,Bloomington Kennedy,11,5,W,Home,2018,Thu May  3
3,Blake,10,4,W,Away,2018,Fri May 11
4,Eden Prairie,7,4,W,Home,2018,Tue May 15
5,Hopkins,14,1,W,Home,2018,Tue May 22
6,Wayzata,9,11,L,Home,2018,Sat Apr 21
7,Edina,9,10,L,Away,2018,Tue May  1
8,Wayzata,11,10,W,Away,2018,Tue May  8
9,Lakeville North,15,7,W,Home,2018,Mon May 14
10,Edina,15,6,W,Home,2018,Thu May 17
11,Hopkins,15,2,W,Away,2018,Fri May 25
12,Orono,15,1,W,Home,2019,Tue Apr 16
13,Rosemount,13,7,W,Home,2019,Sat Apr 20
14,Eden Prairie,10,7,W,Away,2019,Sat Apr 27
15,Blake,13,4,W,Home,2019,Sat May  4
16,Hopkins,15,0,W,Home,2019,Thu May  9
17,Eden Prairie,5,6,L,Home,2019,Tue May 14
18,St. Michael-Albertville,9,4,W,Home,2019,Thu May 23
19,Prior Lake,7,4,W,Away,2019,Thu Apr 18
20,Wayzata,10,3,W,Away,2019,Tue Apr 23
21,Edina,8,5,W,Home,2019,Tue Apr 30
22,Wayzata,8,6,W,Away,2019,Tue May  7
23,Duluth,15,5,W,Away,2019,Sat May 11
24,Edina,11,6,W,Away,2019,Thu May 16
