,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Holy Family,10,6,W,Away,2018,Thu Apr 26
1,Becker,6,4,W,Home,2018,Mon Apr 30
2,Delano Rockford,7,14,L,Home,2018,Mon May  7
3,Hutchinson,21,0,W,Away,2018,Tue May 15
4,St. Michael-Albertville,1,23,L,Away,2018,Tue May 22
5,Rogers,6,10,L,Home,2018,Mon Apr 23
6,Providence Academy,19,11,W,Away,2018,Sat Apr 28
7,Buffalo,9,16,L,Away,2018,Fri May  4
8,Chisago Lakes,0,15,L,Home,2018,Thu May 10
9,Sartell Sauk Rapids,15,4,W,Home,2018,Thu May 17
10,Becker,6,15,L,Away,2019,Tue Apr 16
11,Brainerd,8,0,W,Away,2019,Thu Apr 25
12,St. Cloud,6,4,W,Away,2019,Thu May  2
13,Rocori,9,6,W,Away,2019,Fri May 10
14,St. Michael-Albertville,2,15,L,Away,2019,Tue May 14
15,Rogers,4,15,L,Home,2019,Mon May 20
16,Becker,6,7,L,Home,2019,Thu May 23
17,Rocori,8,3,W,Home,2019,Mon Apr 22
18,Sartell Sauk Rapids,7,2,W,Home,2019,Mon Apr 29
19,Big Lake,18,1,W,Away,2019,Tue May  7
20,Chisago Lakes,8,7,W,Away,2019,Mon May 13
21,Buffalo,12,14,L,Away,2019,Fri May 17
22,Providence Academy,11,10,W,Home,2019,Tue May 21
