,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Blake,5,15,L,Home,2018,Thu Apr 12
1,Cretin-Derham Hall,5,9,L,Away,2018,Thu Apr 26
2,Stillwater,6,21,L,Home,2018,Mon Apr 30
3,Roseville,8,5,W,Away,2018,Tue May  8
4,Chaska,9,10,L,Home,2018,Mon May 14
5,Forest Lake,16,9,W,Home,2018,Thu May 17
6,Hermantown Proctor,18,2,W,Away,2018,Sat Apr 21
7,Tartan,14,3,W,Home,2018,Fri Apr 27
8,White Bear Lake,7,13,L,Home,2018,Thu May  3
9,Park of Cottage Grove,10,15,L,Home,2018,Thu May 10
10,East Ridge,8,14,L,Away,2018,Wed May 16
11,Woodbury,5,4,W,Away,2018,Tue May 22
12,Lakeville South,7,17,L,Away,2019,Tue Apr 16
13,Hastings,11,4,W,Home,2019,Tue Apr 23
14,Cretin-Derham Hall,4,6,L,Home,2019,Fri Apr 26
15,White Bear Lake,5,11,L,Away,2019,Thu May  2
16,Park of Cottage Grove,7,5,W,Away,2019,Thu May  9
17,Forest Lake,9,7,W,Away,2019,Thu May 16
18,Woodbury,11,4,W,Home,2019,Tue May 21
19,Centennial,7,10,L,Away,2019,Thu Apr 18
20,Hill-Murray,17,1,W,Home,2019,Wed Apr 24
21,Stillwater,4,13,L,Away,2019,Tue Apr 30
22,Roseville,14,7,W,Home,2019,Mon May  6
23,East Ridge,13,14,L,Home,2019,Tue May 14
24,Chaska,6,2,W,Away,2019,Fri May 17
