,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Mahtomedi,1,20,L,Away,2018,Thu Apr 26
1,Hastings,1,20,L,Away,2018,Wed May  2
2,Tartan,2,15,L,Home,2018,Thu May 10
3,Hill-Murray,0,19,L,Away,2018,Wed May 16
4,Rochester JM Lourdes,2,19,L,Home,2018,Wed May 23
5,St. Paul,3,15,L,Away,2018,Mon Apr 23
6,Simley,0,19,L,Home,2018,Mon Apr 30
7,St. Thomas Academy,1,18,L,Home,2018,Tue May  8
8,Southwest Christian,10,11,L,Home,2018,Mon May 14
9,Southwest Christian,6,14,L,Home,2018,Mon May 21
10,Robbinsdale Cooper,6,3,W,Home,2019,Mon Apr 15
11,Henry Sibley,7,10,L,Home,2019,Mon Apr 22
12,Southwest Christian,3,18,L,Home,2019,Fri Apr 26
13,Hastings,0,21,L,Home,2019,Wed May  1
14,Tartan,0,19,L,Away,2019,Thu May  9
15,TrIMAC,7,19,L,Away,2019,Thu May 23
16,Roseville,3,17,L,Home,2019,Thu Apr 18
17,Mahtomedi,0,18,L,Home,2019,Thu Apr 25
18,Simley,2,17,L,Away,2019,Mon Apr 29
19,St. Thomas Academy,0,22,L,Away,2019,Tue May  7
20,Hill-Murray,3,16,L,Home,2019,Wed May 15
21,Coon Rapids,2,18,L,Home,2019,Tue May 21
