,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Rochester Century,5,8,L,Home,2018,Sat Apr 21
1,Shakopee,7,19,L,Home,2018,Sat Apr 28
2,Hastings,8,17,L,Away,2018,Mon May  7
3,Owatonna,0,12,L,Home,2018,Fri May 11
4,Rochester Mayo,8,10,L,Away,2018,Fri May 18
5,Mankato,11,0,W,Home,2018,Mon May 21
6,Rochester Mayo,8,16,L,Home,2018,Thu Apr 26
7,Mankato,12,3,W,Away,2018,Mon Apr 30
8,Rochester JM Lourdes,10,2,W,Home,2018,Fri May  4
9,Owatonna,5,6,L,Away,2018,Wed May  9
10,Rochester Century,6,8,L,Away,2018,Mon May 14
11,Apple Valley,4,5,L,Home,2018,Sat May 19
12,Duluth,7,8,L,Home,2019,Sat Apr 13
13,Rochester Mayo,9,7,W,Away,2019,Thu Apr 25
14,Rochester JM Lourdes,16,3,W,Away,2019,Thu May  2
15,Owatonna,14,9,W,Away,2019,Mon May  6
16,Rochester Mayo,8,1,W,Home,2019,Mon May 13
17,Park of Cottage Grove,10,12,L,Away,2019,Fri May 17
18,Owatonna,10,3,W,Home,2019,Wed May 22
19,Rochester Century,19,5,W,Away,2019,Mon Apr 22
20,Mankato,13,5,W,Home,2019,Tue Apr 30
21,Apple Valley,14,2,W,Away,2019,Fri May  3
22,Rochester Century,19,4,W,Home,2019,Thu May  9
23,Mankato,14,5,W,Away,2019,Thu May 16
24,Rochester JM Lourdes,18,2,W,Home,2019,Mon May 20
