,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Minnetonka,8,14,L,Away,2018,Thu Apr 19
1,St. Michael-Albertville,4,8,L,Away,2018,Tue Apr 24
2,Hastings,10,8,W,Away,2018,Sat Apr 28
3,Delano Rockford,11,6,W,Away,2018,Sat May  5
4,Blake,17,14,W,Home,2018,Tue May 15
5,Robbinsdale Armstrong,16,8,W,Home,2018,Sat May 19
6,Eden Prairie,8,9,L,Away,2018,Tue May 22
7,Burnsville,6,12,L,Away,2018,Sat Apr 21
8,Holy Angels,9,12,L,Home,2018,Thu Apr 26
9,St. Louis Park,13,3,W,Away,2018,Thu May  3
10,St. Thomas Academy,10,12,L,Away,2018,Mon May  7
11,Stillwater,8,18,L,Away,2018,Thu May 17
12,Chaska,16,3,W,Home,2018,Mon May 21
13,Minnetonka,1,15,L,Away,2019,Tue Apr 16
14,Delano Rockford,8,6,W,Away,2019,Mon Apr 22
15,Blake,2,14,L,Away,2019,Sat Apr 27
16,Waconia,16,5,W,Away,2019,Mon May  6
17,Chaska,7,8,L,Away,2019,Fri May 10
18,Robbinsdale Armstrong,6,9,L,Away,2019,Mon May 13
19,Holy Angels,15,16,L,Away,2019,Tue May 21
20,Buffalo,5,4,W,Home,2019,Thu Apr 18
21,Holy Family,17,3,W,Home,2019,Mon Apr 29
22,Delano Rockford,9,8,W,Home,2019,Thu May  9
23,Breck,6,5,W,Home,2019,Sat May 11
24,Holy Family,18,2,W,Away,2019,Thu May 16
25,Waconia,16,3,W,Home,2019,Thu May 23
