,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Irondale,7,11,L,Away,2018,Mon Apr 23
1,Elk River Zimmerman,5,15,L,Home,2018,Fri Apr 27
2,Andover,11,14,L,Away,2018,Wed May  2
3,Rogers,8,11,L,Home,2018,Sat May  5
4,Robbinsdale Armstrong,8,9,L,Away,2018,Wed May  9
5,Centennial,9,10,L,Away,2018,Wed May 16
6,Champlin Park,11,13,L,Home,2018,Wed May 23
7,Spring Lake Park,8,5,W,Away,2018,Wed Apr 25
8,Brainerd,22,1,W,Away,2018,Sat Apr 28
9,Maple Grove,14,11,W,Home,2018,Fri May  4
10,Totino-Grace,11,5,W,Home,2018,Mon May  7
11,Anoka,15,14,W,Home,2018,Mon May 14
12,Blaine,7,8,L,Home,2018,Mon May 21
13,Elk River Zimmerman,6,9,L,Home,2019,Wed Apr 17
14,Centennial,4,16,L,Away,2019,Wed Apr 24
15,Maple Grove,5,13,L,Home,2019,Mon Apr 29
16,St. Louis Park,23,2,W,Home,2019,Fri May  3
17,Totino-Grace,11,6,W,Home,2019,Mon May 13
18,Anoka,7,10,L,Away,2019,Fri May 17
19,Coon Rapids,16,7,W,Home,2019,Thu May 23
20,Andover,6,10,L,Home,2019,Mon Apr 22
21,Moorhead,10,1,W,Away,2019,Fri Apr 26
22,Blaine,7,11,L,Away,2019,Wed May  1
23,Spring Lake Park,16,5,W,Home,2019,Mon May  6
24,Robbinsdale Armstrong,9,12,L,Away,2019,Wed May 15
25,Champlin Park,4,15,L,Home,2019,Mon May 20
26,Irondale,5,15,L,Away,2019,Fri May 24
