,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Rochester Mayo,14,6,W,Away,2018,Sat Apr 21
1,Mankato,13,5,W,Away,2018,Tue Apr 24
2,St. Thomas Academy,3,9,L,Away,2018,Sat Apr 28
3,Brainerd,29,1,W,Home,2018,Sat May  5
4,Northfield,6,5,W,Home,2018,Wed May  9
5,Mankato,15,3,W,Home,2018,Mon May 14
6,Rochester JM Lourdes,13,2,W,Away,2018,Thu May 24
7,Farmington,5,6,L,Away,2018,Mon Apr 23
8,Rochester Century,9,6,W,Away,2018,Thu Apr 26
9,Rochester JM Lourdes,19,5,W,Home,2018,Mon Apr 30
10,Rochester Mayo,10,6,W,Away,2018,Mon May  7
11,Northfield,12,0,W,Away,2018,Fri May 11
12,Rochester Century,15,3,W,Home,2018,Fri May 18
13,Apple Valley,4,11,L,Away,2019,Thu Apr 18
14,Bloomington Kennedy,5,10,L,Home,2019,Fri Apr 26
15,Rochester Mayo,4,7,L,Away,2019,Sat May  4
16,Mankato,5,10,L,Home,2019,Tue May  7
17,Rochester Century,15,5,W,Away,2019,Mon May 13
18,Shakopee,1,13,L,Home,2019,Sat May 18
19,Northfield,3,10,L,Away,2019,Wed May 22
20,Rochester Century,19,6,W,Home,2019,Thu Apr 25
21,Rochester JM Lourdes,8,9,L,Away,2019,Mon Apr 29
22,Northfield,9,14,L,Home,2019,Mon May  6
23,Mankato,8,7,W,Away,2019,Thu May  9
24,Rochester JM Lourdes,16,4,W,Home,2019,Thu May 16
25,Rochester Mayo,5,7,L,Away,2019,Mon May 20
