,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Hastings,2,11,L,Home,2018,Fri Apr 20
1,East Ridge,8,9,L,Home,2018,Tue Apr 24
2,Woodbury,10,9,W,Home,2018,Tue May  1
3,Cretin-Derham Hall,10,8,W,Home,2018,Tue May  8
4,White Bear Lake,13,5,W,Home,2018,Tue May 15
5,Simley,7,5,W,Home,2018,Mon May 21
6,Duluth,7,8,L,Home,2018,Fri May 25
7,Burnsville,8,15,L,Away,2018,Mon Apr 23
8,Forest Lake,14,4,W,Away,2018,Thu Apr 26
9,Tartan,17,1,W,Away,2018,Thu May  3
10,Mounds View,15,10,W,Away,2018,Thu May 10
11,Roseville,11,10,W,Away,2018,Thu May 17
12,Stillwater,5,10,L,Home,2018,Wed May 23
13,Tartan,9,3,W,Home,2019,Thu Apr 18
14,Forest Lake,9,6,W,Home,2019,Thu Apr 25
15,Woodbury,7,9,L,Away,2019,Tue Apr 30
16,Cretin-Derham Hall,6,4,W,Away,2019,Tue May  7
17,White Bear Lake,6,12,L,Away,2019,Tue May 14
18,Northfield,12,10,W,Home,2019,Fri May 17
19,Grand Rapids,15,1,W,Home,2019,Thu May 23
20,East Ridge,3,8,L,Away,2019,Mon Apr 22
21,Simley,7,1,W,Away,2019,Fri Apr 26
22,Hudson (Wis.),6,3,W,Away,2019,Thu May  2
23,Mounds View,5,7,L,Home,2019,Thu May  9
24,Roseville,2,10,L,Away,2019,Thu May 16
25,Stillwater,4,17,L,Away,2019,Tue May 21
