,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Woodbury,13,6,W,Away,2018,Mon Apr 23
1,Burnsville,15,2,W,Home,2018,Fri Apr 27
2,Farmington,17,1,W,Away,2018,Thu May  3
3,Eagan,9,10,L,Home,2018,Mon May  7
4,Shakopee,14,3,W,Away,2018,Tue May 15
5,Blake,16,7,W,Away,2018,Fri May 18
6,Rosemount,3,6,L,Away,2018,Thu May 24
7,Bloomington Jefferson,14,4,W,Home,2018,Wed Apr 25
8,Apple Valley,16,4,W,Away,2018,Tue May  1
9,Mahtomedi,10,2,W,Home,2018,Sat May  5
10,Lakeville North,7,6,W,Home,2018,Thu May 10
11,Eastview,7,6,W,Away,2018,Thu May 17
12,Lakeville South,11,4,W,Home,2018,Mon May 21
13,Minnetonka,4,7,L,Home,2019,Thu Apr 18
14,Lakeville North,9,10,L,Home,2019,Thu Apr 25
15,Eastview,12,4,W,Home,2019,Tue Apr 30
16,Benilde-St. Margarets,3,4,L,Away,2019,Sat May  4
17,Apple Valley,20,2,W,Home,2019,Thu May  9
18,Farmington,14,2,W,Home,2019,Tue May 14
19,Eagan,11,7,W,Away,2019,Tue May 21
20,Shakopee,16,4,W,Home,2019,Tue Apr 23
21,Chanhassen,11,8,W,Away,2019,Mon Apr 29
22,Burnsville,14,3,W,Home,2019,Thu May  2
23,Rosemount,10,5,W,Away,2019,Tue May  7
24,Mahtomedi,13,2,W,Away,2019,Sat May 11
25,Lakeville South,18,7,W,Away,2019,Thu May 16
