,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Blake,2,19,L,Home,2018,Thu Apr 26
1,Holy Angels,8,24,L,Home,2018,Tue May  1
2,Breck,8,15,L,Away,2018,Sat May  5
3,Roseville,8,22,L,Away,2018,Sat May 12
4,St. Louis Park,10,23,L,Away,2018,Fri May 18
5,Rochester JM Lourdes,9,13,L,Home,2018,Tue Apr 24
6,Monticello,11,19,L,Home,2018,Sat Apr 28
7,TrIMAC,12,11,W,Away,2018,Thu May  3
8,Chaska,7,14,L,Home,2018,Thu May 10
9,Southwest Christian,18,8,W,Home,2018,Wed May 16
10,TrIMAC,14,13,W,Home,2018,Tue May 22
11,Rogers,13,10,W,Away,2019,Sat Apr 13
12,Breck,5,9,L,Away,2019,Thu Apr 18
13,Blake,4,15,L,Away,2019,Thu Apr 25
14,Grand Rapids,4,3,W,Home,2019,Tue Apr 30
15,Holy Family,15,6,W,Away,2019,Tue May  7
16,Hopkins,7,8,L,Home,2019,Sat May 18
17,Waconia,16,6,W,Home,2019,Tue Apr 16
18,Southwest Christian,19,13,W,Away,2019,Tue Apr 23
19,St. Louis Park,20,0,W,Home,2019,Sat Apr 27
20,TrIMAC,16,3,W,Home,2019,Thu May  2
21,Monticello,10,11,L,Away,2019,Tue May 21
