,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Centennial,10,11,L,Home,2018,Wed Apr 18
1,Champlin Park,9,10,L,Away,2018,Mon Apr 30
2,Anoka,15,6,W,Home,2018,Fri May  4
3,Osseo Park Center,9,8,W,Home,2018,Wed May  9
4,Totino-Grace,14,9,W,Home,2018,Wed May 16
5,Spring Lake Park,7,4,W,Away,2018,Mon May 21
6,White Bear Lake,2,17,L,Away,2018,Sat Apr 21
7,Blaine,7,8,L,Home,2018,Fri Apr 27
8,Irondale,9,13,L,Home,2018,Wed May  2
9,Elk River Zimmerman,9,19,L,Away,2018,Mon May  7
10,Maple Grove,12,10,W,Away,2018,Mon May 14
11,Orono,8,16,L,Away,2018,Sat May 19
12,Andover,10,11,L,Away,2018,Wed May 23
13,Elk River Zimmerman,9,10,L,Home,2019,Mon Apr 15
14,Totino-Grace,11,6,W,Away,2019,Wed Apr 24
15,Blaine,3,14,L,Home,2019,Mon Apr 29
16,Maple Grove,2,7,L,Away,2019,Fri May  3
17,Orono,9,6,W,Home,2019,Mon May 13
18,Coon Rapids,12,8,W,Away,2019,Thu May 16
19,Andover,6,13,L,Away,2019,Wed May 22
20,Centennial,7,12,L,Home,2019,Mon Apr 22
21,Spring Lake Park,18,6,W,Away,2019,Sat Apr 27
22,Champlin Park,9,5,W,Away,2019,Wed May  1
23,Irondale,4,12,L,Home,2019,Mon May  6
24,Osseo Park Center,12,9,W,Home,2019,Wed May 15
25,Anoka,8,4,W,Away,2019,Mon May 20
