,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Northfield,8,5,W,Away,2018,Sat Apr 21
1,Owatonna,6,9,L,Home,2018,Thu Apr 26
2,Mankato,13,4,W,Away,2018,Fri May  4
3,Minneapolis,5,10,L,Away,2018,Wed May 16
4,Rochester JM Lourdes,13,6,W,Away,2018,Mon May 21
5,Rochester Mayo,8,6,W,Home,2018,Thu May 24
6,Eastview,3,17,L,Away,2018,Tue Apr 24
7,Rochester Mayo,16,9,W,Away,2018,Wed May  2
8,Mankato,9,10,L,Home,2018,Mon May  7
9,Northfield,8,6,W,Home,2018,Mon May 14
10,Owatonna,3,15,L,Away,2018,Fri May 18
11,Hastings,6,15,L,Home,2018,Tue May 22
12,Duluth,3,15,L,Home,2019,Fri Apr 12
13,Northfield,5,19,L,Home,2019,Mon Apr 22
14,Rochester Mayo,5,13,L,Away,2019,Mon Apr 29
15,Rochester JM Lourdes,10,11,L,Away,2019,Mon May  6
16,Hastings,7,18,L,Away,2019,Sat May 11
17,Chaska,4,9,L,Home,2019,Wed May 15
18,Mankato,4,17,L,Away,2019,Mon May 20
19,Rochester JM Lourdes,12,11,W,Home,2019,Mon Apr 15
20,Owatonna,6,19,L,Away,2019,Thu Apr 25
21,Mankato,8,14,L,Home,2019,Thu May  2
22,Northfield,4,19,L,Away,2019,Thu May  9
23,Owatonna,5,15,L,Home,2019,Mon May 13
24,Rochester Mayo,4,14,L,Away,2019,Fri May 17
