,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Providence Academy,13,9,W,Away,2018,Tue Apr 24
1,Rochester Mayo,6,8,L,Away,2018,Sat Apr 28
2,Rochester Mayo,8,9,L,Home,2018,Wed May 16
3,Rochester Century,6,13,L,Home,2018,Mon May 21
4,Owatonna,2,13,L,Home,2018,Thu May 24
5,Mankato,6,2,W,Home,2018,Thu Apr 26
6,Owatonna,5,19,L,Away,2018,Mon Apr 30
7,Northfield,2,10,L,Away,2018,Fri May  4
8,Andover,6,15,L,Away,2018,Mon May 14
9,Mankato,12,9,W,Away,2018,Fri May 18
10,North St. Paul,19,2,W,Away,2018,Wed May 23
11,Rochester Century,11,12,L,Away,2019,Mon Apr 15
12,Mankato,7,12,L,Away,2019,Wed Apr 24
13,Northfield,3,16,L,Home,2019,Thu May  2
14,St. Paul,5,9,L,Away,2019,Wed May  8
15,Mankato,4,11,L,Away,2019,Mon May 13
16,Delano Rockford,5,19,L,Away,2019,Fri May 17
17,Breck,4,18,L,Away,2019,Wed May 22
18,Rochester Mayo,5,10,L,Home,2019,Mon Apr 22
19,Owatonna,9,8,W,Home,2019,Mon Apr 29
20,Rochester Century,11,10,W,Home,2019,Mon May  6
21,Rochester Mayo,4,14,L,Away,2019,Thu May  9
22,Owatonna,4,16,L,Away,2019,Thu May 16
23,Northfield,2,18,L,Away,2019,Mon May 20
