,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Owatonna,6,14,L,Home,2018,Sat Apr 21
1,Northfield,16,8,W,Away,2018,Thu Apr 26
2,Rochester Century,9,16,L,Home,2018,Wed May  2
3,Rochester JM Lourdes,9,8,W,Away,2018,Wed May 16
4,Mankato,13,6,W,Away,2018,Sat May 19
5,Rochester Century,6,8,L,Away,2018,Thu May 24
6,Mankato,7,4,W,Home,2018,Fri Apr 20
7,Lakeville North,0,15,L,Away,2018,Tue Apr 24
8,Rochester JM Lourdes,8,6,W,Home,2018,Sat Apr 28
9,Owatonna,6,10,L,Home,2018,Mon May  7
10,Northfield,10,8,W,Home,2018,Fri May 18
11,Hastings,4,17,L,Away,2018,Mon May 21
12,Mankato,5,11,L,Away,2019,Mon Apr 15
13,Farmington,3,11,L,Away,2019,Sat Apr 20
14,Northfield,7,9,L,Home,2019,Thu Apr 25
15,Minneapolis,4,19,L,Away,2019,Thu May  2
16,Rochester JM Lourdes,14,4,W,Home,2019,Thu May  9
17,Mankato,10,7,W,Home,2019,Wed May 15
18,Owatonna,7,5,W,Home,2019,Mon May 20
19,Eastview,0,12,L,Home,2019,Thu Apr 18
20,Rochester JM Lourdes,10,5,W,Away,2019,Mon Apr 22
21,Rochester Century,13,5,W,Home,2019,Mon Apr 29
22,Owatonna,7,4,W,Home,2019,Sat May  4
23,Northfield,1,8,L,Away,2019,Mon May 13
24,Rochester Century,14,4,W,Home,2019,Fri May 17
