,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,St. Cloud,7,10,L,Away,2018,Tue Apr 17
1,St. Michael-Albertville,0,18,L,Away,2018,Mon Apr 30
2,Rogers,2,19,L,Away,2018,Thu May 10
3,Holy Family,2,5,L,Home,2018,Mon May 14
4,Becker,3,13,L,Away,2018,Thu May 17
5,Buffalo,9,8,W,Home,2018,Mon May 21
6,Sartell Sauk Rapids,11,4,W,Home,2018,Fri Apr 27
7,St. Cloud,9,5,W,Home,2018,Thu May  3
8,Chisago Lakes,9,17,L,Away,2018,Fri May 11
9,Brainerd,10,2,W,Home,2018,Tue May 15
10,Hutchinson,13,3,W,Away,2018,Sat May 19
11,Delano Rockford,3,14,L,Away,2018,Thu May 24
12,Monticello,3,8,L,Away,2019,Mon Apr 22
13,Chisago Lakes,6,14,L,Home,2019,Thu Apr 25
14,Brainerd,13,4,W,Away,2019,Mon May  6
15,Buffalo,1,16,L,Away,2019,Wed May  8
16,Waconia,10,7,W,Away,2019,Tue May 14
17,Moorhead,1,7,L,Away,2019,Fri May 17
18,St. Cloud,8,2,W,Home,2019,Wed May 22
19,Becker,3,15,L,Home,2019,Tue May  7
20,Monticello,6,9,L,Home,2019,Fri May 10
21,Big Lake,18,3,W,Home,2019,Thu May 16
22,Sartell Sauk Rapids,15,5,W,Away,2019,Mon May 20
23,Sartell Sauk Rapids,15,3,W,Home,2019,Fri May 24
