,Opponent,Goals For,Goals Against,Result,Location,Year,Date
0,Monticello,10,6,W,Away,2018,Mon Apr 23
1,Sartell Sauk Rapids,16,4,W,Away,2018,Mon Apr 30
2,Osseo Park Center,11,8,W,Away,2018,Sat May  5
3,Rocori,19,2,W,Home,2018,Thu May 10
4,Holy Family,16,4,W,Away,2018,Thu May 17
5,Becker,12,6,W,Home,2018,Tue May 22
6,Hutchinson,21,1,W,Home,2018,Thu Apr 26
7,St. Michael-Albertville,4,16,L,Home,2018,Thu May  3
8,St. Cloud,17,5,W,Away,2018,Mon May  7
9,Chisago Lakes,11,7,W,Away,2018,Mon May 14
10,Elk River Zimmerman,7,8,L,Away,2018,Fri May 18
11,Delano Rockford,15,4,W,Home,2018,Wed May 23
12,Providence Academy,10,13,L,Home,2019,Sat Apr 13
13,Brainerd,24,0,W,Home,2019,Mon Apr 22
14,St. Cloud,17,4,W,Away,2019,Mon Apr 29
15,Elk River Zimmerman,12,9,W,Home,2019,Fri May  3
16,Chisago Lakes,12,8,W,Home,2019,Thu May  9
17,Sartell Sauk Rapids,17,1,W,Away,2019,Wed May 15
18,Buffalo,11,13,L,Home,2019,Thu May 23
19,Andover,7,10,L,Home,2019,Thu Apr 18
20,Becker,6,7,L,Away,2019,Thu Apr 25
21,Big Lake,26,0,W,Home,2019,Mon May  6
22,St. Michael-Albertville,9,19,L,Away,2019,Mon May 13
23,Monticello,15,4,W,Away,2019,Mon May 20
